Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
17.2,11.0,24.4,0.0,0.0,24.863
19.36,13.2,25.1,0.0,0.0,20.161
17.78,16.2,20.5,0.0,0.0,20.824
17.2,15.1,19.9,1.6,0.0,19.727
17.52,15.6,18.4,17.8,0.0,14.94
14.94,10.9,21.0,15.2,1.0,24.632
12.9,11.0,14.5,4.4,1.0,21.294
15.78,11.3,20.6,0.0,0.0,18.448
16.8,13.3,20.2,0.0,0.0,21.237
17.02,14.9,18.7,4.5,0.0,19.849
17.54,15.3,20.4,0.0,0.0,20.74
19.24,14.0,25.4,0.0,0.0,25.698
17.46,16.0,19.8,0.0,1.0,26.691
20.32,14.0,27.4,3.0,1.0,33.298
22.06,16.7,28.7,0.0,0.0,25.64
23.3,18.4,29.3,0.0,0.0,23.937
20.18,17.2,27.6,0.0,0.0,28.742
19.88,16.2,25.8,0.0,0.0,21.748
19.14,15.8,24.3,0.0,0.0,22.032
20.2,18.2,23.8,0.0,1.0,24.827
19.98,14.6,25.9,0.0,1.0,32.473
20.56,14.9,25.1,0.0,0.0,20.62
16.72,14.0,21.4,0.0,0.0,21.825
14.52,12.8,16.1,0.0,0.0,14.343
17.02,13.6,20.6,0.0,0.0,19.029
18.46,14.3,25.8,0.0,0.0,21.104
15.9,14.9,17.9,16.6,1.0,20.738
16.82,13.6,22.9,2.0,1.0,25.233
16.6,11.0,24.2,0.0,0.0,18.975
16.46,11.6,24.5,0.0,0.0,19.64
16.2,11.0,23.8,0.0,0.0,22.522
16.76,11.3,26.7,0.0,0.0,24.227
19.24,12.8,26.6,0.0,0.0,24.726
19.78,14.3,26.4,0.0,1.0,32.467
20.1,13.8,26.3,0.0,1.0,31.663
21.16,14.9,26.9,0.0,0.0,25.867
21.04,15.2,27.4,0.0,0.0,27.724
20.96,15.0,27.2,0.0,0.0,22.039
21.06,16.3,27.7,0.0,0.0,26.127
22.08,15.5,28.9,0.0,0.0,26.58
21.16,16.0,27.8,0.0,1.0,31.31
19.62,15.6,26.2,0.0,1.0,33.517
21.2,15.6,28.0,0.0,0.0,23.181
19.6,15.2,27.2,0.0,0.0,24.183
20.12,14.1,26.6,0.0,0.0,24.594
20.42,14.1,28.1,0.0,0.0,22.61
20.86,15.3,27.6,0.0,0.0,25.479
21.44,15.6,27.8,0.0,1.0,29.621
20.56,16.2,27.2,0.0,1.0,26.272
21.58,15.3,28.0,0.0,0.0,22.541
21.3,16.7,26.5,0.0,0.0,23.07
20.74,17.3,28.3,0.0,0.0,26.021
16.2,14.8,19.6,0.0,0.0,17.655
16.84,13.2,22.1,1.0,0.0,23.243
18.08,14.1,26.2,0.0,1.0,30.177
20.22,13.5,30.0,0.0,1.0,27.518
16.98,15.1,20.5,0.0,0.0,23.21
16.98,14.3,20.5,2.4,0.0,21.092
18.92,14.8,24.0,0.6,0.0,23.357
16.1,13.8,19.8,2.6,0.0,17.888
16.28,12.8,22.1,25.0,0.0,22.217
18.46,12.2,26.7,0.0,1.0,31.681
22.52,14.3,32.0,0.0,1.0,31.833
24.54,16.6,32.2,0.0,0.0,28.441
21.44,17.2,30.7,0.0,0.0,22.389
16.1,14.1,20.2,0.4,0.0,20.681
19.3,14.8,25.0,0.0,0.0,24.222
16.66,15.2,19.3,0.0,0.0,19.345
16.12,14.4,18.5,2.4,1.0,21.827
16.48,13.3,19.9,0.0,1.0,23.566
18.72,13.8,24.4,0.1,0.0,20.227
17.08,15.8,19.2,23.6,0.0,17.075
18.82,15.8,22.9,58.0,0.0,16.977
18.92,13.9,25.6,0.0,0.0,21.525
16.88,14.1,21.8,31.8,0.0,21.454
14.0,12.8,15.6,27.6,1.0,21.814
14.18,12.5,16.1,0.0,1.0,21.252
16.46,13.0,22.5,0.2,0.0,20.464
21.18,14.4,30.1,0.0,0.0,30.775
25.24,17.2,32.6,0.0,0.0,25.343
27.26,20.4,33.0,0.0,0.0,33.93
28.06,21.3,34.5,0.0,0.0,26.311
28.0,21.1,35.5,0.0,1.0,31.836
23.6,19.2,33.3,0.0,1.0,34.695
24.72,17.4,32.8,0.0,0.0,29.829
25.7,18.9,33.3,0.0,0.0,26.362
26.14,18.3,34.0,0.0,0.0,32.589
28.3,20.5,35.3,0.0,0.0,30.345
23.24,19.2,30.3,0.0,0.0,29.411
20.58,18.2,24.9,28.6,1.0,29.637
22.3,18.2,30.6,1.8,1.0,32.184
21.22,17.5,23.6,27.2,0.0,17.731
21.8,17.5,27.1,0.0,0.0,24.114
21.52,18.6,27.6,0.0,0.0,28.034
20.96,17.6,26.4,7.6,0.0,22.664
24.74,19.3,32.7,0.0,0.0,27.488
20.28,16.1,25.0,25.0,1.0,24.876
18.6,17.1,21.3,0.2,1.0,24.862
17.36,14.8,22.4,0.0,0.0,24.679
18.26,14.6,24.7,0.0,0.0,22.304
24.5,15.9,32.6,0.0,0.0,30.329
26.56,19.3,34.0,0.0,0.0,33.182
24.52,19.8,29.0,0.0,0.0,23.849
23.06,19.6,28.0,0.3,1.0,33.33
22.48,19.6,30.0,0.0,1.0,34.496
22.76,19.0,29.6,0.0,0.0,26.249
21.4,18.1,27.6,2.4,0.0,26.523
23.62,18.2,28.5,0.0,0.0,26.793
28.12,18.9,35.8,0.0,0.0,35.861
26.24,21.3,35.7,0.0,0.0,27.387
21.22,17.3,29.2,0.0,1.0,32.666
16.76,15.5,19.2,0.1,1.0,22.199
19.86,15.5,27.2,0.0,0.0,24.0
26.3,17.2,35.3,0.0,0.0,27.871
24.62,21.3,32.0,0.0,0.0,31.139
19.9,17.7,22.8,14.6,0.0,23.065
20.5,17.6,27.3,13.4,0.0,26.594
17.94,16.2,21.2,0.0,1.0,27.657
17.64,15.7,19.2,0.0,1.0,26.594
20.86,16.0,28.5,28.4,0.0,28.084
22.0,19.1,28.4,0.1,0.0,27.582
20.42,18.6,23.9,0.0,0.0,24.862
20.56,18.2,24.8,0.0,0.0,22.634
23.86,19.1,31.2,0.0,0.0,31.649
23.18,18.2,29.3,0.0,1.0,35.781
20.22,18.7,22.4,27.2,1.0,24.429
21.82,18.3,27.2,39.6,0.0,20.648
21.86,19.5,25.6,3.4,0.0,22.741
21.52,18.6,27.4,6.8,0.0,21.479
21.8,18.2,24.8,39.3,0.0,23.134
19.76,18.0,22.8,0.0,0.0,20.575
18.3,16.8,20.0,1.2,1.0,24.33
20.24,17.4,23.9,0.6,1.0,28.61
22.98,18.7,29.5,4.4,0.0,28.456
23.72,19.4,31.8,10.4,0.0,27.964
26.2,19.8,32.7,0.0,0.0,29.569
23.78,20.8,31.8,0.0,0.0,29.267
22.78,19.4,29.6,0.0,0.0,28.647
25.06,19.5,30.4,16.4,1.0,26.836
23.06,19.8,29.7,8.0,1.0,29.386
21.16,19.4,24.9,0.0,0.0,24.609
21.76,17.7,29.7,0.0,0.0,26.964
25.5,17.6,30.5,14.1,0.0,23.614
26.16,23.3,30.4,0.0,0.0,22.96
23.28,19.6,27.0,6.8,0.0,20.332
19.44,17.2,24.4,7.2,1.0,30.392
22.26,17.1,28.8,0.0,1.0,31.933
20.8,19.6,23.6,13.6,0.0,21.662
21.36,19.3,22.6,7.0,0.0,21.689
21.26,19.3,24.8,0.4,0.0,25.119
22.28,19.0,27.4,0.0,0.0,25.285
22.28,17.6,28.4,0.0,0.0,28.979
23.7,18.7,29.8,0.0,1.0,34.382
22.38,20.5,26.0,17.4,1.0,30.617
19.1,16.7,23.3,23.4,0.0,20.238
20.1,16.4,25.8,0.0,0.0,24.529
22.1,18.2,29.4,0.0,0.0,30.471
22.44,20.2,26.1,0.0,0.0,28.405
22.76,19.0,29.1,0.0,0.0,29.513
24.8,19.5,30.6,0.1,1.0,32.451
23.12,20.6,28.0,0.1,1.0,32.78
20.04,18.0,23.9,47.8,0.0,23.375
21.7,18.0,28.0,0.0,0.0,27.713
23.96,19.6,27.9,0.0,0.0,27.137
24.0,22.2,27.7,0.0,0.0,22.933
24.04,20.7,30.3,0.0,0.0,30.74
23.92,20.6,30.8,0.0,1.0,29.579
24.54,19.3,31.0,12.2,1.0,29.188
26.28,21.1,32.5,2.0,0.0,28.131
25.66,20.6,32.8,4.0,0.0,28.617
22.04,20.7,24.8,1.5,0.0,21.062
23.32,18.9,28.7,0.0,0.0,24.337
26.42,19.6,33.5,0.1,0.0,27.042
23.74,19.8,31.3,1.3,1.0,32.536
22.84,19.6,29.0,8.4,1.0,30.127
23.12,19.6,29.1,27.2,0.0,24.834
24.6,19.6,32.4,43.0,0.0,26.828
27.46,22.1,32.4,3.0,0.0,26.468
24.72,20.5,31.5,3.4,0.0,31.572
23.58,17.8,31.0,39.0,0.0,26.308
23.34,17.8,29.8,94.8,1.0,21.955
24.0,21.1,28.2,13.6,1.0,32.307
22.64,21.1,26.7,0.0,0.0,26.095
21.68,20.3,24.1,10.3,0.0,22.309
21.38,19.3,22.4,6.3,0.0,20.467
24.76,20.2,29.0,0.0,0.0,22.446
