id,car_name,brand,model,new_price,min_cost_price,max_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
49,Tata Indigo,Tata,Indigo,,,,6,58000,Individual,Diesel,Manual,19.09,1396,69,5,300000
50,Maruti Swift Dzire,Maruti,Swift Dzire,,,,7,56000,Dealer,Diesel,Manual,23.4,1248,74,5,410000
51,Fiat Grande,Fiat,Grande,,,,10,93000,Individual,Diesel,Manual,20.5,1248,91.7,5,300000
52,Ambassador Avigo,Ambassador,Avigo,,,,11,86000,Dealer,Petrol,Manual,12.2,1817,75,5,225000
53,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000,1042000,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
54,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,893000,1047000,1,40000,Individual,Diesel,Manual,21,1498,74.96,7,850000
55,Tata Nano,Tata,Nano,,,,10,70000,Individual,Petrol,Manual,26,624,35,4,108000
56,Mahindra KUV100,Mahindra,KUV100,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,688000,875000,3,17000,Individual,Petrol,Manual,18.15,1198,82,5,550000
57,Toyota Etios,Toyota,Etios,,,,9,54325,Dealer,Petrol,Manual,17.6,1496,88.73,5,325000
58,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,681000,1054000,5,22000,Dealer,Petrol,Manual,15.4,1590,94,5,625000
59,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,698000,1040000,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
60,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,511000,679000,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
61,Maruti Ignis,Maruti,Ignis,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,577000,856000,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000
62,Toyota Corolla,Toyota,Corolla,,,,10,61000,Dealer,Petrol,Manual,14.53,1798,138.1,5,385000
63,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,597000,604000,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
64,Datsun RediGO,Datsun,RediGO,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,329000,550000,3,27263,Individual,Petrol,Manual,22.5,999,68,5,350000
65,Tata Indigo,Tata,Indigo,,,,7,90000,Individual,Diesel,Manual,25,1396,69.01,5,265000
66,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,1284000,1809000,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
67,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,959000,1283000,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
68,Maruti Swift Dzire,Maruti,Swift Dzire,,,,4,70000,Individual,Diesel,Manual,26.59,1248,74,5,560000
69,Tata Vista,Tata,Vista,,,,7,190000,Individual,Diesel,Manual,19.1,1405,70,5,200000
70,Hyundai Xcent,Hyundai,Xcent,,,,4,40000,Individual,Diesel,Manual,25.4,1186,73.97,5,600000
71,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000,1341000,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
72,Hyundai Santro,Hyundai,Santro,,,,14,56000,Dealer,Petrol,Manual,17.8,1086,63,5,125000
73,Toyota Corolla,Toyota,Corolla,,,,12,58000,Dealer,Petrol,Automatic,14.53,1794,138.1,5,425000
74,Maruti Omni,Maruti,Omni,,,,4,40000,Individual,Petrol,Manual,16.8,796,34.2,8,220000
75,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,783000,1312000,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
76,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000,1992000,4,50000,Individual,Diesel,Manual,15.4,1997,120,7,1150000
77,Volkswagen Vento,Volkswagen,Vento,,,,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
78,Mahindra Marazzo,Mahindra,Marazzo,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,1389000,1643000,2,36000,Individual,Diesel,Manual,17.3,1497,121,7,990000
79,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,1274000,1817000,8,47876,Dealer,Diesel,Manual,25,1493,113.42,5,551000
80,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,1654000,2328000,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
81,Hyundai Grand,Hyundai,Grand,,,,6,75000,Dealer,Diesel,Manual,24,1120,70,5,350000
82,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,685000,870000,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
83,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,685000,1026000,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
84,Hyundai Grand,Hyundai,Grand,,,,3,50000,Individual,Diesel,Manual,24,1186,73.97,5,545000
85,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,602000,791000,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
86,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,702000,985000,7,50000,Individual,Petrol,Manual,18,1198,86.7,5,400000
87,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000,694000,15,37000,Dealer,Petrol,Manual,14,1061,64,5,155000
88,Mahindra Supro,Mahindra,Supro,,,,2,3888,Individual,Diesel,Manual,23.5,909,45,8,540000
89,Maruti Swift Dzire,Maruti,Swift Dzire,,,,5,47000,Dealer,Diesel,Manual,26.59,1248,74,5,545000
90,Honda City,Honda,City,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,1313000,1745000,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
91,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,362000,609000,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
92,Maruti Vitara,Maruti,Vitara,,,,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
93,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,685000,845000,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
94,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,783000,1312000,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
95,Maruti Swift,Maruti,Swift,,,,10,160000,Individual,Diesel,Manual,17.8,1248,75,5,225000
96,Tata Tiago,Tata,Tiago,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,563000,789000,4,32100,Individual,Petrol,Manual,23.84,1199,84,5,400000
97,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000,1341000,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
98,Mahindra Scorpio,Mahindra,Scorpio,,,,5,44000,Dealer,Diesel,Manual,15.4,2179,120,7,1050000
99,Volkswagen Polo,Volkswagen,Polo,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,694000,1119000,5,78000,Dealer,Petrol,Manual,18.78,1198,74,5,450000
100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,476200000,16000000,9,74352,Dealer,Petrol,Automatic,11.74,1796,186,5,775000
101,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000,694000,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
102,Honda City,Honda,City,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,1479000,1755000,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
103,Kia Seltos,Kia,Seltos,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,1119000,1920000,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
104,Maruti Baleno,Maruti,Baleno,,,,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
105,Toyota Innova,Toyota,Innova,,,,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
106,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,347000,466000,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
107,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,860000,1128000,10,160000,Individual,Diesel,Manual,21.9,1396,90,5,270000
108,Chevrolet Beat,Chevrolet,Beat,,,,9,42000,Dealer,Diesel,Manual,25.44,936,56.3,5,165000
109,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,613000,791000,10,40000,Individual,Petrol,Manual,15.6,1196,70,5,130000
110,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,653000,995000,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
111,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000,1042000,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
112,Toyota Etios,Toyota,Etios,,,,6,240000,Individual,Diesel,Manual,23.59,1364,67.05,5,390000
113,Volkswagen Polo,Volkswagen,Polo,,,,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
114,Hyundai i20,Hyundai,i20,,,,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
115,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000,1829000,3,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
116,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000,1341000,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
117,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,530000,665000,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
118,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,1014000,1379000,4,55000,Dealer,Diesel,Manual,23,1498,98.96,5,685000
119,Hyundai Verna,Hyundai,Verna,,,,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
120,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,397000,648000,3,22000,Individual,Petrol,Manual,23.01,999,67,5,330000
121,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,668000,1042000,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
122,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,511000,679000,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
123,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,656000,1004000,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
124,Hyundai Venue,Hyundai,Venue,New Car (On-Road Price) : Rs.7.19-12.12 Lakh*,719000,1212000,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
125,Nissan Terrano,Nissan,Terrano,,,,6,70000,Individual,Diesel,Manual,20.45,1461,83.8,5,750000
126,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,1284000,1809000,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
127,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,635000,927000,7,28000,Dealer,Petrol,Manual,16.1,1197,85,5,435000
128,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.74-13.09 Lakh*,974000,1309000,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
129,Hyundai Santa,Hyundai,Santa,,,,10,104000,Individual,Diesel,Manual,14.66,2199,194.3,7,1000000
130,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000,1829000,2,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
131,Hyundai Xcent,Hyundai,Xcent,,,,4,18000,Individual,Petrol,Manual,20.14,1197,81.86,5,550000
132,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.30-7.07 Lakh*,530000,707000,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
133,Maruti Swift,Maruti,Swift,,,,6,58000,Dealer,Diesel,Manual,25.2,1248,74,5,415000
134,Maruti Alto,Maruti,Alto,,,,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
135,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000,1992000,5,46400,Dealer,Diesel,Manual,15.4,2179,120,7,1150000
136,Hyundai i10,Hyundai,i10,,,,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
137,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,480000,788000,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,350000
138,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000,1992000,4,30000,Dealer,Diesel,Manual,15.4,1997,120,7,1125000
139,BMW 5,BMW,5,,,,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
140,Chevrolet Beat,Chevrolet,Beat,,,,4,43890,Individual,Petrol,Manual,17.8,1199,76.8,5,200000
141,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.97-8.09 Lakh*,497000,809000,3,10000,Individual,Petrol,Manual,20.62,1198,67,7,480000
142,Maruti Swift Dzire,Maruti,Swift Dzire,,,,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
143,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.11.70-19.75 Lakh*,1170000,1975000,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
144,Maruti Swift,Maruti,Swift,,,,3,35000,Dealer,Petrol,Manual,22,1197,81.8,5,575000
145,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,656000,1004000,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
146,Tata Indigo,Tata,Indigo,,,,3,114851,Individual,Diesel,Manual,25,1396,69.01,5,559000
147,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.15-13.71 Lakh*,1015000,1371000,3,55000,Individual,Diesel,Manual,23,1498,98.96,5,925000
148,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,648000,657000,6,36000,Dealer,Petrol,Manual,18.9,1197,82,5,400000
149,Hyundai Xcent,Hyundai,Xcent,,,,2,35000,Individual,Diesel,Manual,25.4,1186,73.97,5,560000
150,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000,1680000,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
151,Maruti Swift Dzire,Maruti,Swift Dzire,,,,7,35000,Individual,Diesel,Manual,23.4,1248,74,5,600000
152,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.14.79-19.20 Lakh*,1479000,1920000,8,95000,Individual,Diesel,Manual,12.05,2179,120,8,550000
153,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.9.72-10.08 Lakh*,972000,1008000,4,36000,Dealer,Diesel,Manual,25.83,1498,99,5,585000
154,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.36-7.12 Lakh*,536000,712000,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
155,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.80-10.13 Lakh*,680000,1013000,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
156,Honda CR-V,Honda,CR-V,New Car (On-Road Price) : Rs.32.64-34.05 Lakh*,3264000,3405000,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
157,Volkswagen Polo,Volkswagen,Polo,,,,6,46000,Dealer,Petrol,Manual,16.47,1198,74,5,455000
158,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.5.96-8.91 Lakh*,596000,891000,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
159,Mahindra TUV,Mahindra,TUV,,,,5,70000,Individual,Diesel,Manual,18.49,1493,100,7,450000
160,Toyota Etios,Toyota,Etios,,,,6,33000,Dealer,Petrol,Manual,17.71,1197,78.9,5,465000
161,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000,1680000,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
162,Tata Indigo,Tata,Indigo,,,,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,320000
163,Tata Indigo,Tata,Indigo,,,,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,325000
164,Ford Endeavour,Ford,Endeavour,New Car (On-Road Price) : Rs.36.27-42.73 Lakh*,3627000,4273000,3,11387,Individual,Diesel,Automatic,10.91,3198,197,7,2900000
165,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.8.99-11.66 Lakh*,899000,1166000,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
166,Mahindra KUV,Mahindra,KUV,,,,5,52000,Dealer,Diesel,Manual,25.32,1198,77,5,375000
167,Chevrolet Aveo,Chevrolet,Aveo,,,,11,60000,Individual,Petrol,Manual,14.49,1399,92.7,5,145000
168,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,480000,788000,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,400000
169,Renault Duster,Renault,Duster,,,,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
170,Honda Jazz,Honda,Jazz,New Car (On-Road Price) : Rs.8.56-10.99 Lakh*,856000,1099000,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
171,Maruti Wagon R,Maruti,Wagon R,,,,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
172,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,763000,1266000,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
173,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000,1829000,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
174,Chevrolet Sail,Chevrolet,Sail,,,,6,120000,Individual,Petrol,Manual,18.2,1199,82.4,5,380000
175,Mitsubishi Pajero,Mitsubishi,Pajero,,,,9,165000,Individual,Diesel,Manual,13.5,2477,175.56,7,728000
176,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.29-9.14 Lakh*,629000,914000,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
177,Tata Indica,Tata,Indica,,,,11,120000,Individual,Diesel,Manual,18,1248,75,5,180000
178,BMW 3,BMW,3,,,,5,68000,Dealer,Diesel,Automatic,22.69,1995,190,5,2090000
179,Chevrolet Beat,Chevrolet,Beat,,,,6,55000,Dealer,Diesel,Manual,25.44,936,56.3,5,250000
180,Kia Seltos,Kia,Seltos,New Car (On-Road Price) : Rs.11.52-20.26 Lakh*,1152000,2026000,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
181,Toyota Corolla,Toyota,Corolla,,,,9,80000,Dealer,Petrol,Manual,14.53,1798,138.1,5,455000
