Age,Education,Usage,Fitness,Income,Miles,Female,Male,Partnered,Single
21,16,2,2,34110,42,0,1,1,0
21,12,2,2,32973,53,0,1,1,0
23,14,3,3,36384,95,0,1,1,0
23,14,3,3,38658,85,0,1,1,0
23,16,3,3,45480,95,1,0,0,1
23,16,4,3,45480,127,0,1,1,0
23,16,3,2,43206,74,1,0,1,0
23,14,3,2,40932,53,1,0,0,1
23,16,3,3,45480,64,0,1,1,0
24,14,3,2,40932,85,1,0,0,1
24,14,3,4,48891,106,0,1,0,1
24,16,3,3,50028,106,1,0,0,1
25,14,2,3,45480,85,1,0,1,0
25,14,3,4,43206,127,1,0,0,1
25,16,2,2,52302,42,0,1,1,0
25,14,5,3,47754,106,1,0,1,0
25,14,3,3,45480,95,0,1,0,1
25,14,2,3,43206,64,1,0,0,1
25,14,4,3,45480,170,0,1,1,0
25,14,3,4,43206,106,0,1,1,0
25,16,2,3,50028,53,0,1,1,0
25,14,2,2,45480,42,1,0,0,1
25,14,4,3,48891,127,0,1,0,1
26,16,4,3,45480,85,1,0,1,0
26,16,4,4,50028,127,1,0,0,1
26,16,4,3,51165,106,0,1,0,1
27,14,4,2,45480,53,0,1,0,1
29,14,3,3,51165,95,1,0,1,0
30,14,3,3,57987,74,1,0,0,1
30,13,4,3,46617,106,1,0,0,1
31,16,3,3,52302,95,0,1,1,0
31,16,2,3,51165,64,1,0,1,0
31,18,2,1,65220,21,1,0,0,1
32,16,4,3,60261,127,0,1,0,1
32,16,3,3,53439,95,0,1,1,0
33,13,4,4,53439,170,0,1,1,0
33,16,2,3,50028,85,1,0,1,0
33,16,3,3,51165,95,0,1,1,0
33,16,5,3,53439,95,1,0,1,0
33,18,3,4,47754,74,1,0,0,1
34,16,4,3,64809,95,1,0,1,0
34,16,3,4,59124,85,0,1,1,0
34,15,3,3,67083,85,0,1,0,1
35,14,3,2,52302,53,1,0,1,0
35,16,3,2,53439,53,0,1,1,0
35,16,3,2,50028,64,1,0,0,1
35,16,3,3,53439,95,0,1,1,0
37,16,2,3,48891,85,1,0,1,0
38,16,4,3,62535,85,1,0,1,0
38,16,3,3,59124,106,0,1,1,0
40,16,3,3,61398,85,1,0,1,0
40,16,3,3,57987,85,1,0,0,1
40,16,3,3,64809,95,0,1,1,0
45,16,2,2,54576,42,0,1,1,0
48,16,2,3,57987,64,0,1,1,0
22,14,4,3,48658,106,0,1,0,1
22,16,3,5,54781,120,0,1,0,1
22,18,4,5,48556,200,0,1,0,1
23,16,4,5,58516,140,0,1,0,1
23,18,5,4,53536,100,1,0,0,1
23,16,4,5,48556,100,0,1,0,1
24,16,4,5,61006,100,0,1,0,1
24,18,4,5,57271,80,0,1,1,0
24,16,5,5,52291,200,1,0,0,1
24,16,5,5,49801,160,0,1,0,1
25,16,4,5,49801,120,0,1,1,0
25,16,4,4,62251,160,0,1,1,0
25,18,5,5,61006,200,1,0,1,0
25,18,4,3,64741,100,0,1,1,0
25,18,6,4,70966,180,0,1,1,0
25,18,6,5,75946,240,0,1,1,0
25,20,4,5,74701,170,0,1,1,0
26,21,4,3,69721,100,1,0,0,1
26,16,5,4,64741,180,0,1,1,0
27,16,4,5,83416,160,0,1,1,0
27,18,4,3,88396,100,0,1,0,1
27,21,4,4,90886,100,0,1,1,0
28,18,6,5,92131,180,1,0,1,0
28,18,7,5,77191,180,0,1,1,0
28,18,6,5,88396,150,0,1,0,1
29,18,5,5,52290,180,0,1,0,1
29,14,7,5,85906,300,0,1,1,0
30,16,6,5,90886,280,1,0,1,0
30,18,5,4,103336,160,0,1,1,0
30,18,5,5,99601,150,0,1,1,0
31,16,6,5,89641,260,0,1,1,0
33,18,4,5,95866,200,1,0,1,0
34,16,5,5,92131,150,0,1,0,1
35,16,4,5,92131,360,0,1,1,0
38,18,5,5,104581,150,0,1,1,0
40,21,6,5,83416,200,0,1,0,1
42,18,5,4,89641,200,0,1,0,1
45,16,5,5,90886,160,0,1,0,1
47,18,4,5,104581,120,0,1,1,0
48,18,4,5,95508,180,0,1,1,0
