host_response_rate,host_identity_verified,host_total_listings_count,city,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,fraud
100,0,4,2,1,8,0,2,1.0,1.0,1.0,4,1757,29500,2,90,99.0,0,2,1.17,1
100,1,11,12,1,8,1,4,2.5,1.0,2.0,4,110,6500,1,291,87.0,1,2,3.83,1
100,0,1,2,1,0,0,2,1.0,1.0,1.0,4,1330,15500,5,125,97.0,0,2,1.67,1
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,2054,29900,5,4,87.0,0,3,0.08,0
70,1,1,2,1,0,1,2,1.0,1.0,1.0,4,1762,9900,1,46,97.0,0,2,0.62,0
90,1,1,2,1,8,1,2,1.0,1.0,1.0,4,1717,9500,4,55,100.0,0,1,0.75,0
100,0,4,2,0,8,0,2,1.0,1.0,1.0,4,1140,23500,2,76,99.0,0,2,1.04,0
100,1,2,11,1,0,0,3,0.0,1.0,1.0,4,259,12500,3,98,92.0,0,2,1.33,1
100,1,11,12,1,8,1,3,2.5,1.0,3.0,4,145,5500,1,241,88.0,1,2,3.3,1
89,1,558,2,1,0,1,2,1.0,1.0,1.0,4,1750,47900,2,0,100.0,0,3,1.0,0
89,1,558,2,1,0,1,2,1.0,1.0,1.0,4,1752,25900,2,0,100.0,0,3,1.0,0
100,1,1,2,1,0,0,5,1.0,2.0,2.0,4,2851,37500,2,25,90.0,0,1,0.35,1
100,0,5,2,1,0,0,12,2.0,4.0,5.0,4,57,72500,3,15,96.0,0,2,0.26,1
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,1323,34900,4,4,93.0,0,3,0.07,0
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,1028,34900,3,5,80.0,0,3,0.08,0
89,1,558,2,1,0,0,3,1.0,1.0,1.0,4,1805,30900,3,1,100.0,0,3,0.01,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1005,18500,2,7,84.0,0,3,0.19,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1037,28900,4,5,96.0,0,3,0.07,0
89,1,558,2,1,0,0,4,1.5,2.0,2.0,4,1325,29900,3,10,88.0,0,3,0.17,0
100,0,1,2,1,8,0,2,1.0,1.0,1.0,4,2488,9500,7,17,87.0,0,1,0.26,0
99,1,3,2,1,8,1,1,1.0,1.0,1.0,4,76,7000,1,193,90.0,1,1,3.75,1
100,0,1,2,1,1,1,2,1.0,1.0,1.0,4,39,27000,4,2,80.0,0,2,0.06,0
92,1,5,2,1,0,1,1,1.0,1.0,1.0,4,505,7500,2,112,95.0,0,2,1.62,1
100,0,12,2,1,4,0,2,1.0,1.0,1.0,4,1793,17500,7,5,92.0,0,2,0.15,1
100,1,7,2,1,0,0,2,1.0,0.0,1.0,4,658,7500,1,404,78.0,1,1,5.87,1
100,0,12,2,1,0,0,3,1.0,1.0,1.0,4,122,11000,6,11,93.0,0,2,0.24,0
89,1,558,2,1,0,1,3,1.0,1.0,1.0,4,1031,24900,3,1,100.0,0,3,0.02,0
89,1,558,2,1,0,0,4,1.5,2.0,2.0,4,1597,35900,2,6,87.0,0,3,0.12,0
92,1,5,2,1,0,1,2,1.0,1.0,1.0,4,174,8500,3,83,95.0,0,2,1.29,1
100,0,12,2,1,0,0,2,1.0,1.0,1.0,4,1792,17500,5,6,93.0,0,2,0.09,0
84,1,1,2,1,0,1,2,0.0,1.0,2.0,4,74,6200,2,123,91.0,0,2,1.84,1
100,1,2,2,1,8,0,11,1.5,5.0,6.0,4,2135,40000,2,54,93.0,0,2,0.82,0
80,0,2,2,1,1,1,2,1.0,1.0,1.0,4,2342,16000,2,21,83.0,0,2,0.35,0
100,1,11,2,1,8,1,3,1.5,1.0,1.0,4,129,6500,1,194,88.0,1,2,2.89,1
80,0,2,2,1,1,1,2,1.0,1.0,1.0,4,2272,17500,2,16,80.0,0,2,0.27,0
90,1,1,2,1,4,1,2,1.0,1.0,1.0,4,1435,8000,1,8,91.0,0,1,0.12,0
100,1,2,2,1,0,0,4,1.0,2.0,2.0,4,2574,19900,3,166,94.0,0,2,2.57,1
100,0,12,2,1,0,0,2,1.0,0.0,1.0,4,1996,17500,5,12,98.0,0,2,0.18,1
100,0,5,2,1,0,0,12,1.0,4.0,1.0,4,2495,52500,3,7,70.0,0,2,0.13,1
100,1,3,2,1,0,0,4,1.0,2.0,2.0,4,1017,32000,28,17,91.0,0,2,0.27,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1041,26900,30,2,96.0,0,3,0.05,0
100,0,1,2,1,8,0,6,2.5,3.0,3.0,4,1561,45000,4,2,70.0,0,2,0.04,0
100,1,7,2,1,0,0,6,1.0,2.0,3.0,4,1554,22500,3,138,92.0,0,2,2.24,1
100,0,1,2,1,8,1,2,1.0,1.0,1.0,2,161,7500,2,37,91.0,0,1,0.61,1
100,1,1,2,1,8,0,10,2.0,4.0,6.0,4,2974,15000,2,105,91.0,0,2,1.71,1
50,0,1,2,1,0,0,4,1.0,1.0,1.0,4,1035,14000,3,1,100.0,0,1,1.0,0
90,1,1,2,1,8,1,2,1.0,1.0,1.0,4,430,6000,3,88,93.0,1,2,1.46,1
100,1,3,2,1,8,1,3,1.5,1.0,1.0,4,2716,6900,2,131,94.0,1,2,2.14,0
100,1,11,2,1,8,1,2,1.5,1.0,1.0,4,143,7000,1,81,87.0,0,1,1.33,1
100,1,11,2,1,8,1,2,1.5,1.0,1.0,4,120,7000,1,33,87.0,0,1,0.55,0
89,1,558,2,1,0,0,3,1.0,1.0,1.0,4,1026,24900,3,2,78.0,0,3,0.04,1
100,1,3,2,1,0,0,4,1.0,2.0,2.0,4,926,30000,28,33,96.0,0,0,0.53,0
100,1,1,2,1,0,0,8,1.0,2.0,3.0,4,2589,16900,6,50,92.0,1,0,0.81,1
100,1,2,2,1,8,1,2,1.0,1.0,1.0,4,3,12500,3,33,95.0,0,2,0.53,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1850,19900,30,1,87.0,0,3,0.02,0
100,1,2,2,1,0,2,1,1.0,1.0,1.0,1,2865,7900,4,41,98.0,0,1,0.67,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,2089,35600,2,20,91.0,0,3,0.36,0
100,0,1,2,1,0,1,1,1.0,1.0,1.0,4,2128,8500,2,22,99.0,0,2,0.36,0
100,1,2,2,1,8,0,3,1.0,1.0,1.0,4,1900,14500,2,230,96.0,1,2,3.86,0
100,1,3,2,1,8,1,3,1.5,1.0,1.0,4,604,7900,2,118,93.0,1,2,1.96,0
100,1,11,2,1,8,1,2,1.5,1.0,1.0,4,111,6500,2,125,89.0,1,2,2.05,1
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,1224,10000,3,115,97.0,0,2,1.9,1
80,1,4,2,1,0,1,1,1.0,1.0,1.0,4,246,7000,2,22,92.0,0,1,0.76,0
100,1,1,7,1,0,1,2,1.0,1.0,1.0,4,2545,11000,2,120,95.0,0,2,2.03,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1132,26900,3,5,90.0,0,3,0.09,1
100,1,1,2,1,8,1,5,1.0,1.0,1.0,4,499,6900,3,160,98.0,0,2,2.66,1
100,1,5,2,1,8,1,1,1.0,1.0,1.0,4,97,9800,1,184,91.0,0,1,3.09,1
100,0,2,2,1,0,1,2,0.0,1.0,1.0,4,2721,7000,1,38,98.0,1,2,0.63,1
100,0,2,2,1,0,1,1,0.0,1.0,1.0,4,2722,6000,1,70,96.0,1,2,1.16,1
89,1,558,2,1,0,0,5,2.0,2.0,2.0,4,1030,34900,3,4,94.0,0,3,0.09,1
100,1,3,2,1,8,1,3,1.5,1.0,1.0,4,603,7900,2,55,93.0,1,2,0.9,1
100,1,3,2,1,0,0,4,1.0,2.0,2.0,4,2243,30000,30,15,89.0,0,0,0.25,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1957,28500,2,22,89.0,0,3,0.39,1
94,1,5,2,1,0,0,5,1.0,2.0,2.0,4,1409,35000,1,13,98.0,0,1,0.24,1
100,1,1,2,1,0,0,6,1.0,2.0,3.0,4,1546,20000,1,132,96.0,1,2,2.62,1
98,1,24,2,1,0,0,4,1.0,1.0,1.0,4,1214,16700,2,54,82.0,0,2,1.02,1
100,1,1,2,1,8,1,4,1.5,1.0,1.0,4,83,8000,1,19,97.0,0,2,0.47,0
100,1,2,2,1,0,0,2,1.0,0.0,1.0,4,1215,17500,2,92,90.0,0,2,1.66,1
100,1,11,2,1,11,0,6,1.5,2.0,2.0,4,1492,16500,1,84,87.0,0,2,1.53,1
60,1,1,2,1,0,1,2,1.0,1.0,2.0,4,666,10000,1,11,90.0,0,0,0.21,0
100,1,6,2,1,0,0,2,1.0,1.0,1.0,4,1564,18300,2,192,94.0,0,2,4.57,1
100,1,2,2,1,8,0,4,2.0,4.0,3.0,4,218,15900,2,41,94.0,0,1,0.86,1
100,1,2,2,1,8,0,3,1.0,1.0,2.0,4,614,13500,2,68,93.0,0,1,2.35,1
100,1,2,2,1,8,1,3,1.0,1.0,2.0,4,727,7000,2,145,92.0,0,1,2.62,1
98,1,24,2,1,0,0,4,1.0,1.0,2.0,4,1957,15000,2,55,85.0,0,2,1.05,1
100,1,3,2,1,0,0,4,1.0,1.0,2.0,4,126,14000,5,16,96.0,0,2,0.66,0
100,1,3,2,1,0,0,4,1.0,2.0,4.0,4,1167,19900,5,19,96.0,0,2,0.47,1
100,1,11,2,1,8,0,14,2.5,5.0,8.0,4,1369,39500,2,19,85.0,0,2,0.38,0
100,1,1,2,1,0,1,3,1.0,1.0,1.0,4,2176,8800,1,13,98.0,0,0,0.52,0
100,1,5,2,1,0,1,1,1.0,1.0,1.0,4,222,5600,3,20,86.0,0,1,0.51,1
100,1,1,2,1,9,0,4,1.0,1.0,1.0,4,1582,17500,2,312,92.0,1,2,5.85,1
90,1,2,2,1,0,0,5,1.0,2.0,3.0,4,1542,25000,2,40,98.0,0,1,0.77,0
100,1,1,2,1,8,1,2,1.0,1.0,1.0,4,2173,7100,3,198,96.0,0,1,3.86,1
100,1,3,2,1,0,1,2,1.0,1.0,1.0,2,1966,9900,2,55,96.0,0,2,1.39,0
100,1,1,2,1,0,0,5,1.0,2.0,3.0,4,217,8000,1,48,91.0,0,0,0.94,1
98,1,22,2,1,0,0,6,1.0,2.0,2.0,4,2184,15000,2,3,93.0,0,2,0.55,0
100,0,4,2,1,8,0,5,2.5,2.0,4.0,4,55,50000,2,0,100.0,1,2,1.0,0
100,0,4,2,1,8,0,5,2.5,2.0,4.0,4,1556,50000,2,3,73.0,0,2,1.55,0
0,1,1,2,1,8,1,2,1.0,1.0,1.0,4,591,20000,2,16,99.0,0,2,0.44,0
100,1,1,2,1,0,0,8,1.0,3.0,3.0,4,1066,33400,1,135,92.0,1,2,5.09,1
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,2474,19900,3,156,94.0,1,1,3.02,1
100,0,1,2,1,0,1,2,1.5,1.0,1.0,4,496,6200,3,9,98.0,0,1,0.31,0
100,1,5,2,1,8,1,2,1.0,1.0,1.0,4,97,13000,1,103,90.0,0,1,2.0,1
73,1,10,2,1,8,0,9,2.0,4.0,4.0,4,1376,17500,2,19,93.0,0,2,0.41,1
73,1,10,2,1,0,0,5,1.0,2.0,3.0,4,1373,12500,2,11,93.0,0,2,0.22,0
73,1,10,2,1,0,0,6,2.5,2.0,3.0,4,1549,16800,2,8,93.0,0,2,0.16,0
73,1,10,2,1,0,0,4,1.0,2.0,2.0,4,1170,12500,2,12,93.0,0,2,0.41,0
100,1,1,2,1,0,0,4,1.0,2.0,3.0,4,1958,10900,2,185,87.0,1,1,3.67,1
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1887,37900,3,6,93.0,0,3,0.49,0
89,1,558,2,1,0,0,4,1.5,2.0,2.0,4,2087,34900,3,0,100.0,0,3,1.0,0
100,1,1,2,1,0,0,6,2.0,2.0,2.0,4,950,24000,3,108,95.0,0,2,2.25,1
73,1,10,2,1,0,0,6,1.0,2.0,4.0,4,1353,14200,2,4,87.0,0,2,0.08,0
100,1,2,2,1,8,1,4,1.0,1.0,2.0,4,2675,12500,1,132,97.0,0,2,2.61,1
100,1,2,2,1,8,1,4,2.5,1.0,2.0,4,1457,12500,3,57,96.0,0,1,1.54,1
73,1,10,2,1,0,0,4,1.0,2.0,2.0,4,1166,12500,2,10,93.0,0,2,0.2,0
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,684,18400,3,9,100.0,0,0,0.19,1
100,1,5,2,1,0,0,2,1.0,1.0,1.0,4,1076,22500,2,31,93.0,0,2,1.21,1
100,0,1,2,1,0,0,2,1.0,1.0,1.0,4,1788,17500,4,62,89.0,1,2,1.29,1
100,0,2,2,1,0,1,2,1.0,1.0,1.0,4,1723,7000,2,23,93.0,0,2,0.46,0
73,1,10,2,1,0,0,5,1.0,2.0,2.0,4,1210,12500,2,0,100.0,0,2,1.0,0
100,0,3,2,1,2,0,6,1.0,1.0,4.0,4,2275,17500,1,0,100.0,0,2,1.0,0
100,1,2,2,1,0,0,2,1.0,1.0,1.0,4,2894,17500,3,105,95.0,0,2,2.11,1
100,0,1,2,1,0,1,2,1.5,1.0,1.0,4,420,25000,2,123,96.0,1,2,2.47,1
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,1595,29900,4,10,91.0,0,3,0.22,0
100,1,2,2,1,0,0,4,1.0,2.0,2.0,4,1840,22500,3,8,100.0,0,2,0.21,0
100,0,4,2,1,1,1,2,1.0,1.0,1.0,4,1458,29900,1,1,100.0,0,2,1.0,0
100,0,4,2,1,1,1,3,1.0,1.0,2.0,4,1758,29900,1,0,100.0,0,2,1.0,0
100,1,1,2,1,8,1,2,1.0,1.0,1.0,4,1053,15000,1,1,100.0,0,2,0.37,0
30,0,1,2,1,0,0,6,1.5,2.0,3.0,4,1181,29000,3,35,86.0,0,2,0.77,1
98,1,24,2,1,0,0,4,1.0,1.0,1.0,4,1340,16300,2,65,86.0,0,2,1.35,1
89,1,558,2,1,0,0,3,1.0,1.0,1.0,4,1044,24900,4,0,100.0,0,3,1.0,0
100,1,2,2,1,0,1,4,1.0,1.0,2.0,4,338,7500,1,58,92.0,0,1,3.59,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,991,24900,2,17,88.0,0,3,0.44,0
100,0,12,2,1,0,0,3,1.0,1.0,1.0,4,1791,17500,5,8,90.0,0,2,0.51,1
100,0,12,2,1,0,0,4,1.0,1.0,1.0,4,1301,22900,3,25,96.0,0,2,0.52,1
100,0,12,2,1,0,0,3,1.0,1.0,1.0,4,1235,19900,3,30,96.0,0,2,0.65,1
100,0,2,11,1,0,0,4,1.0,1.0,2.0,4,1697,15000,2,221,98.0,0,1,4.65,1
100,1,1,2,1,8,0,2,1.5,1.0,1.0,4,2491,13500,5,1,80.0,0,2,0.04,0
100,1,2,2,1,0,0,5,1.0,2.0,2.0,4,2035,12500,2,86,89.0,0,2,1.81,1
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1863,34900,4,0,100.0,0,3,1.0,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1039,34900,3,8,93.0,0,3,0.17,0
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,2051,34900,3,7,97.0,0,3,0.17,0
100,0,2,15,1,0,1,2,1.0,1.0,1.0,3,2834,6000,2,88,87.0,0,2,1.88,1
100,1,2,2,1,0,1,2,1.0,1.0,1.0,4,2828,8000,3,18,95.0,0,2,0.38,0
100,1,2,2,1,0,0,4,1.0,2.0,2.0,4,2827,20500,2,14,97.0,0,2,0.3,0
100,0,1,2,1,1,1,2,1.0,1.0,1.0,4,2177,5500,300,3,100.0,0,0,0.06,0
57,1,1,2,1,0,0,2,1.0,2.0,2.0,4,307,12000,5,3,100.0,0,2,0.58,0
100,1,2,2,1,8,0,9,2.5,4.0,5.0,4,2670,55000,3,49,97.0,0,2,1.17,0
100,1,2,2,1,0,1,2,1.0,1.0,1.0,4,441,8500,1,62,97.0,0,1,1.46,1
100,1,2,2,1,0,1,2,1.0,1.0,1.0,4,3008,8500,2,91,96.0,0,1,2.29,1
100,1,1,26,1,4,1,2,1.0,1.0,2.0,4,330,5800,2,65,96.0,0,1,5.36,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,131,20900,2,17,92.0,0,3,0.42,0
100,1,13,2,1,0,0,2,1.0,1.0,1.0,4,1578,12500,1,244,88.0,1,2,6.13,1
83,1,1,2,1,0,1,1,1.0,1.0,1.0,4,2666,5800,2,1,100.0,0,1,0.04,0
90,1,1,2,1,8,1,2,1.0,1.0,1.0,4,495,8500,1,17,94.0,0,1,0.43,0
100,1,2,2,1,0,0,2,1.0,1.0,1.0,4,2210,25000,7,2,80.0,0,2,0.08,0
100,1,6,2,1,0,0,4,2.0,2.0,2.0,4,1544,30600,1,192,97.0,0,2,4.72,1
90,1,2,15,1,0,0,8,1.5,4.0,4.0,4,2140,30000,4,2,100.0,0,2,0.05,0
100,1,7,2,1,0,0,4,1.0,1.0,1.0,4,339,19500,3,23,95.0,0,2,0.5,0
100,1,7,2,1,8,1,2,1.0,1.0,1.0,4,1157,16500,3,14,94.0,0,2,0.31,0
100,1,13,2,1,0,0,2,1.0,1.0,1.0,4,1086,12500,1,281,92.0,1,2,7.08,1
100,1,1,2,1,9,0,4,2.0,1.0,2.0,4,1291,44900,2,46,99.0,0,2,1.11,1
100,0,1,2,1,0,2,1,1.0,1.0,1.0,4,3091,3500,1,0,100.0,0,0,1.0,0
100,0,2,2,1,0,1,4,1.0,1.0,1.0,4,1912,9500,5,0,100.0,0,0,1.0,0
100,0,2,2,1,0,0,4,1.0,1.0,2.0,4,1669,8400,5,3,80.0,0,1,0.17,0
100,1,5,2,1,0,1,2,1.0,1.0,2.0,4,375,7200,3,7,66.0,0,1,0.18,1
100,1,1,0,1,0,0,3,1.0,1.0,1.0,4,813,29500,1,31,96.0,0,1,0.69,0
100,1,5,2,1,0,1,1,1.0,1.0,1.0,4,222,5600,3,16,89.0,0,1,0.36,1
100,1,2,2,1,0,0,7,1.0,2.0,3.0,4,1075,39900,2,31,84.0,0,2,0.73,1
100,1,2,2,1,0,0,5,1.0,2.0,2.0,4,1487,22900,4,33,94.0,0,2,1.01,0
100,1,1,2,1,0,0,1,1.0,1.0,1.0,4,349,15000,14,7,100.0,0,2,0.74,0
100,0,1,26,1,0,1,2,1.0,1.0,1.0,4,594,9000,1,43,95.0,0,2,1.06,0
100,0,2,21,1,1,1,2,1.0,1.0,2.0,4,3057,7500,1,16,87.0,0,1,0.39,1
100,1,1,2,1,0,0,4,1.0,1.0,2.0,4,1230,12500,2,190,91.0,0,0,4.49,1
97,1,11,2,1,0,0,3,1.5,1.0,1.0,4,1952,17500,3,13,80.0,0,2,0.47,1
100,1,2,26,1,8,1,2,1.5,1.0,1.0,4,1410,9500,1,40,96.0,0,1,1.13,0
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,1540,24900,1,0,100.0,0,0,1.0,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1862,29900,30,0,100.0,0,3,1.0,0
93,1,1,2,0,0,0,3,1.0,1.0,1.0,4,2803,17500,3,150,85.0,0,1,3.47,1
100,1,13,2,1,0,0,2,1.0,1.0,1.0,4,1608,12500,1,281,88.0,1,2,6.83,1
100,1,4,15,1,0,1,2,2.0,1.0,1.0,4,1393,12000,1,17,96.0,0,2,0.41,0
100,1,1,2,1,0,1,2,1.0,1.0,1.0,4,859,13000,1,0,100.0,0,2,1.0,0
100,1,1,15,1,0,0,6,2.0,3.0,3.0,4,2989,25000,4,6,90.0,0,2,0.16,0
89,1,558,2,1,0,0,3,1.0,1.0,1.0,4,1796,30900,3,0,100.0,0,3,1.0,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1862,35900,3,3,73.0,0,3,0.08,0
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,1638,34900,3,1,100.0,0,3,0.03,0
90,1,2,15,1,8,0,8,1.0,3.0,4.0,4,3059,27500,3,57,93.0,0,2,1.42,1
100,1,2,2,1,0,0,2,1.0,1.0,1.0,4,1478,11900,3,33,99.0,1,2,0.87,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1643,34900,7,6,100.0,0,3,0.17,0
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,2356,17500,3,11,95.0,0,1,0.26,0
100,0,2,2,1,0,0,4,1.0,1.0,2.0,4,1469,25000,10,38,93.0,0,2,1.05,1
100,1,1,2,1,0,1,2,1.0,1.0,1.0,4,3027,8200,2,42,95.0,0,0,1.03,0
89,1,558,2,1,0,0,4,2.0,2.0,2.0,4,2087,31000,7,2,80.0,0,3,0.05,0
100,0,2,2,1,11,1,2,1.0,1.0,1.0,4,91,29500,2,4,90.0,0,1,0.1,0
100,0,6,2,1,0,0,2,1.0,1.0,1.0,4,1253,17000,32,19,98.0,0,2,0.52,0
100,1,6,2,1,0,1,2,1.5,1.0,1.0,4,1234,15700,2,96,98.0,0,2,2.41,1
100,1,1,2,1,0,1,3,1.0,1.0,2.0,4,1618,15000,1,96,98.0,0,1,2.49,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1129,34900,3,4,90.0,0,3,0.09,0
100,0,1,15,1,0,1,2,1.0,1.0,1.0,4,373,10000,1,14,88.0,0,0,0.35,1
100,1,5,2,1,8,1,1,1.0,1.0,1.0,4,93,13500,1,163,88.0,0,1,3.92,1
100,1,1,2,1,8,0,3,1.0,2.0,2.0,4,2784,11200,2,52,92.0,0,2,1.34,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1573,27500,3,1,100.0,0,3,0.03,0
92,0,8,2,1,2,0,6,1.0,2.0,4.0,4,2736,27500,2,29,91.0,1,2,0.72,1
92,0,8,2,1,2,0,6,1.0,2.0,4.0,4,2691,27500,2,26,84.0,1,2,0.67,0
92,0,8,2,1,2,0,6,1.5,2.0,5.0,4,2688,20000,2,32,79.0,1,2,0.82,1
92,0,8,2,1,2,0,6,1.0,2.0,4.0,4,2689,27500,2,17,89.0,1,2,1.46,0
90,1,1,2,1,0,1,2,1.0,1.0,1.0,4,2170,9500,2,53,95.0,0,0,1.32,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,2031,26900,3,1,91.0,0,3,0.03,0
100,1,2,15,1,0,0,2,1.0,1.0,1.0,4,1899,13500,2,152,94.0,1,2,3.75,1
100,0,1,2,1,0,0,2,1.0,1.0,1.0,4,3091,17600,1,0,100.0,0,0,1.0,0
100,1,1,2,1,8,1,1,1.0,1.0,1.0,4,2931,12000,5,42,91.0,0,2,1.62,1
100,0,12,2,1,0,0,3,2.0,1.0,1.0,4,2030,11500,5,9,89.0,0,2,0.23,0
100,1,16,2,1,8,0,6,1.0,2.0,3.0,4,1625,23900,2,19,96.0,0,2,0.49,0
100,1,1,2,1,0,1,2,1.0,1.0,1.0,4,724,12500,4,47,95.0,0,1,2.01,0
100,1,6,2,1,10,2,1,0.0,1.0,1.0,0,157,50000,1,26,94.0,0,2,0.65,1
