number of adults,number of children,number of weekend nights,number of week nights,car parking space,lead time,average price,special requests,booking_status,Meal Plan 1,Meal Plan 2,Meal Plan 3,Not Selected,Room_Type 1,Room_Type 2,Room_Type 3,Room_Type 4,Room_Type 5,Room_Type 6,Room_Type 7,Aviation,Complementary,Corporate,Offline,Online
2,0,0,2,0,99,114.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,60,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,2,110.0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,2,0,37,37.33,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,56,82.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,3,177.5,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,2,0,107,87.5,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,0,3,0,56,82.44,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,2,69.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,72,85.5,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,23,115.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,34,81.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,289,67.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,247,63.75,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,186,121.8,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,4,0,64,93.6,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,35,102.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,96,121.8,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,41,98.1,1,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,55,60.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,3,0,146,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,32,73.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,55,104.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,57,79.2,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,3,0,7,125.8,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2,5,0,124,87.95,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,169,106.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,6,136.67,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,51,60.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,1,0,0,13,89.0,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,100,136.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,139,94.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,117,93.6,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,39,120.6,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,3,0,86,99.3,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,2,0,1,1,2,258.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,3,0,19,120.12,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,192,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,2,0.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,2,1,0,86,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,30,157.5,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,179,97.7,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,26,142.0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,55,80.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,74,85.5,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,143,100.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,34,88.0,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1,30,122.85,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,177,100.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,34,75.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,1,4,0,18,116.8,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0,1,1,0,267,121.5,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,64,111.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,5,0,155,121.55,2,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,5,0,46,75.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,2,0,2,0,83,159.3,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,5,0,128,132.3,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,0,0,20,88.0,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,40,98.82,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,1,46,98.3,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,1,150.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,196,96.05,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,188,130.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,17,95.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,146,113.56,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,3,0,110,101.58,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,1,68,105.3,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,73,115.8,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,92,149.4,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,5,0,171,111.59,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,1,134,130.5,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,320,115.0,1,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,118,90.95,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,30,76.08,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,3,0,30,156.9,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,1,0,0,189,85.5,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,2,0,55,159.3,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,4,0,55,74.8,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,16,95.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,24,107.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,8,64.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,1,10,82.95,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,0,155.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,12,101.68,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,32,94.5,3,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,182,117.9,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,1,127.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,122,116.1,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,40,117.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,0,116,184.24,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,2,2,1,123,155.7,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0,2,5,0,40,135.76,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,2,5,0,105,102.83,3,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,443,65.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,2,103.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,317,106.2,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,286,58.5,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,68,73.95,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,148,105.3,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,0,0,68,133.2,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,30,85.5,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,14,112.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,110,190.8,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,2,3,0,117,110.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,85,91.48,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,1,135.0,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,25,129.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,289,70.55,2,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,28,75.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,4,0,80,72.25,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,11,155.0,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1,0,0,162,121.5,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,155,90.95,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,82,109.65,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,4,0,27,142.72,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,2,0,13,90.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,245,75.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,11,111.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,266,86.7,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,39,117.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,13,0.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,0,4,0,112,101.58,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,88,58.9,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,56,120.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,73,107.1,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,1,0,80,126.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,130,139.5,2,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,3,0,69,80.75,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,273,109.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,55,104.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,4,65.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,97,140.4,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,3,0,44,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,31,94.5,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,109.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,62,105.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,86,107.95,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0,2,2,0,3,215.6,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,1,0,197,85.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,143,105.3,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,23,1.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8,156.0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,13,73.15,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,280,110.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,0,0,11,87.4,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,317,120.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,185,79.2,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,160,90.95,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,104,91.48,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,11,150.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,2,89.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,14,91.43,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,22,140.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,2,5,0,37,87.78,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,292,115.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,11,80.85,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,86,82.45,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,109,108.0,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,72,96.3,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,5,0,196,99.45,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,56,140.4,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,3,0,189,72.25,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,126,126.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,3,0,303,78.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,81,146.6,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,54,118.8,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,15,145.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,86,84.58,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,161,130.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,4,10,0,147,118.88,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,92,101.52,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,87,100.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,109,58.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,127,61.5,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,418,107.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,156,87.3,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,80,76.5,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,211,63.75,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,273,95.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,58,75.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,433,70.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,111,101.58,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,34,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,4,0,17,98.39,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,4,0.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,0,3,0,6,106.07,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,32,105.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,4,145.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,195,106.03,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,119,114.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,13,88.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,59,89.25,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,2,5,0,78,86.32,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,3,0,335,90.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,5,0,103,55.96,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,0,109.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,118,86.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,5,0,56,118.95,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,107,130.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,70,90.56,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,76,87.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,0,144,177.65,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,2,2,2,0,4,200.75,2,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,1,0,2,0,15,127.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,32,72.9,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,1,0,49,159.3,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1,3,0,77,135.15,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,22,90.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,0,114.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,1,58,125.1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,6,0,4,95.13,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,117,105.84,0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,36,102.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,35,74.8,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,31,94.5,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,79,120.6,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,1,139.33,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,21,105.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,12,100.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,33,80.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,164,100.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,1,78,105.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,18,112.8,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,21,151.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,3,0,0,91.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,152,146.7,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,3,0,43,58.4,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,177,80.75,1,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
