Age;Experience;Income;Family;Education;CreditCard;Personal_Loan
25;0;113,0;4;Advanced/Professional;;0
55;30;118,0;4;Graduated;;1
35;10;29,0;4;Advanced/Professional;;0
43;19;34,0;3;Graduated;;0
60;34;64,0;2;Advanced/Professional;;0
65;39;121,0;1;Undergrad;;0
38;12;48,0;4;Advanced/Professional;;0
41;15;80,0;1;Undergrad;;0
54;28;161,0;1;Undergrad;;0
49;23;94,0;1;Undergrad;;0
66;41;15,0;3;Advanced/Professional;;0
48;23;74,0;1;Undergrad;;0
61;36;30,0;3;Graduated;;0
53;23;44,0;3;Advanced/Professional;;0
43;18;22,0;2;Graduated;;0
56;32;38,0;4;Undergrad;;0
24;0;35,0;3;Graduated;;0
43;17;69,0;4;Undergrad;;0
42;18;43,0;1;Undergrad;0;0
33;7;32,0;1;Advanced/Professional;0;0
43;17;49,0;1;Undergrad;0;0
41;14;9,0;3;Graduated;0;0
62;38;45,0;4;Graduated;0;0
40;15;82,0;3;Undergrad;0;0
58;34;92,0;2;Undergrad;0;0
39;14;39,0;3;Advanced/Professional;0;0
65;40;81,0;3;Graduated;0;0
54;29;35,0;1;Graduated;0;0
58;33;61,0;2;Advanced/Professional;0;0
41;16;73,0;3;Undergrad;0;0
32;7;112,0;1;Undergrad;0;0
54;29;12,0;2;Advanced/Professional;0;0
52;26;38,0;3;Advanced/Professional;0;0
58;32;73,0;2;Graduated;1;0
37;13;84,0;1;Graduated;0;0
39;15;78,0;4;Undergrad;0;0
60;35;80,0;3;Undergrad;0;0
31;5;115,0;2;Undergrad;1;0
34;8;82,0;1;Graduated;0;0
38;14;74,0;2;Undergrad;0;0
41;16;70,0;3;Advanced/Professional;1;0
28;4;81,0;3;Undergrad;0;0
58;34;149,0;4;Graduated;1;1
31;1;51,0;2;Advanced/Professional;0;0
30;4;39,0;3;Graduated;0;0
53;29;98,0;3;Graduated;0;0
58;33;45,0;4;Undergrad;1;0
59;32;49,0;4;Graduated;0;0
49;25;128,0;2;Undergrad;0;0
59;34;42,0;3;Undergrad;1;0
59;35;18,0;1;Advanced/Professional;0;0
51;25;31,0;2;Advanced/Professional;1;0
35;11;58,0;3;Undergrad;1;0
33;9;48,0;1;Advanced/Professional;1;0
25;1;54,0;4;Undergrad;1;0
49;23;70,0;2;Graduated;0;0
59;35;124,0;1;Undergrad;1;0
46;19;84,0;1;Graduated;1;0
50;25;83,0;4;Advanced/Professional;0;0
52;28;163,0;2;Undergrad;0;0
48;22;42,0;3;Graduated;0;0
46;22;118,0;2;Undergrad;1;0
26;0;132,0;3;Advanced/Professional;1;1
57;32;24,0;1;Undergrad;1;0
60;36;22,0;2;Undergrad;1;0
54;29;58,0;4;Advanced/Professional;0;0
24;0;60,0;4;Undergrad;0;0
26;0;15,0;4;Undergrad;1;0
41;17;83,0;4;Undergrad;1;0
32;6;79,0;2;Advanced/Professional;1;0
61;35;41,0;4;Graduated;0;0
29;0;134,0;4;Advanced/Professional;0;1
61;35;80,0;2;Undergrad;0;0
38;12;52,0;1;Undergrad;0;0
28;4;70,0;4;Undergrad;0;0
53;27;92,0;2;Undergrad;0;0
27;1;43,0;1;Undergrad;0;0
25;1;21,0;3;Graduated;0;0
33;9;23,0;3;Advanced/Professional;1;0
50;26;13,0;4;Undergrad;0;0
27;1;112,0;4;Advanced/Professional;1;0
27;1;138,0;2;Undergrad;0;0
52;28;11,0;3;Undergrad;0;0
38;13;171,0;2;Undergrad;0;0
58;34;42,0;4;Undergrad;1;0
42;17;168,0;2;Graduated;0;1
45;20;85,0;4;Graduated;0;0
52;25;44,0;3;Graduated;0;0
29;3;65,0;4;Graduated;0;0
53;29;24,0;4;Undergrad;1;0
62;37;11,0;1;Undergrad;0;0
51;27;38,0;2;Advanced/Professional;0;0
36;12;10,0;4;Graduated;0;0
24;0;135,0;1;Undergrad;0;0
29;3;148,0;3;Undergrad;0;1
52;26;63,0;2;Graduated;0;0
39;14;115,0;1;Advanced/Professional;0;0
48;23;45,0;1;Undergrad;1;0
46;21;159,0;3;Advanced/Professional;0;1
64;40;169,0;2;Undergrad;0;0
55;29;112,0;2;Undergrad;0;0
60;36;93,0;1;Undergrad;0;0
51;25;29,0;1;Advanced/Professional;0;0
50;23;85,0;1;Graduated;0;0
48;24;21,0;4;Undergrad;1;0
53;29;144,0;2;Undergrad;0;0
34;10;13,0;4;Undergrad;0;0
48;24;165,0;1;Undergrad;1;0
55;31;9,0;4;Undergrad;0;0
27;3;59,0;4;Undergrad;0;0
36;11;158,0;1;Advanced/Professional;1;1
32;6;29,0;1;Advanced/Professional;1;0
35;9;20,0;2;Advanced/Professional;1;0
30;3;68,0;4;Graduated;0;0
58;34;65,0;4;Undergrad;0;0
56;31;61,0;2;Graduated;0;0
38;12;91,0;4;Graduated;1;0
49;25;31,0;1;Undergrad;0;0
34;10;71,0;4;Graduated;0;0
40;16;73,0;4;Undergrad;1;0
64;39;172,0;4;Undergrad;1;1
51;26;20,0;2;Undergrad;0;0
44;18;55,0;1;Undergrad;0;0
46;22;69,0;2;Undergrad;0;0
57;33;155,0;1;Undergrad;0;0
54;28;94,0;1;Graduated;0;0
38;14;92,0;2;Undergrad;1;0
27;3;125,0;2;Undergrad;0;0
39;14;74,0;3;Undergrad;0;0
44;20;72,0;3;Advanced/Professional;0;0
56;30;61,0;1;Advanced/Professional;1;0
32;6;25,0;2;Undergrad;1;0
45;19;83,0;2;Graduated;0;0
26;2;104,0;3;Undergrad;0;0
55;25;41,0;3;Advanced/Professional;0;0
52;27;58,0;4;Advanced/Professional;0;0
39;13;93,0;1;Advanced/Professional;1;0
24;0;39,0;2;Graduated;0;0
47;23;148,0;2;Undergrad;1;0
47;22;53,0;4;Advanced/Professional;1;0
48;24;71,0;2;Undergrad;1;0
47;22;92,0;1;Graduated;0;0
35;10;61,0;4;Advanced/Professional;0;0
46;19;38,0;3;Graduated;0;0
62;37;58,0;4;Undergrad;0;0
26;1;80,0;1;Graduated;0;0
38;8;;4;Advanced/Professional;0;0
43;18;;3;Advanced/Professional;1;0
62;38;;1;Advanced/Professional;0;0
57;32;;3;Undergrad;1;0
28;3;;4;Graduated;0;0
51;26;;1;Undergrad;0;0
48;22;;1;Advanced/Professional;1;0
41;16;;1;Advanced/Professional;0;0
65;39;;3;Advanced/Professional;0;1
41;17;;4;Undergrad;0;0
35;11;;2;Graduated;0;0
38;14;;2;Advanced/Professional;1;0
53;29;;4;Graduated;0;1
55;29;;2;Undergrad;1;0
26;1;;3;Advanced/Professional;1;0
30;6;;3;Graduated;0;0
54;28;;2;Graduated;0;1
65;40;;3;Undergrad;1;0
47;21;;1;Undergrad;0;0
65;41;;3;Advanced/Professional;0;1
66;40;;2;Advanced/Professional;1;0
26;0;;4;Advanced/Professional;1;0
66;41;;3;Undergrad;1;0
35;9;;4;Undergrad;0;0
56;30;;1;Undergrad;0;0
51;27;;1;Undergrad;1;0
42;16;;2;Advanced/Professional;0;1
49;23;;1;Advanced/Professional;1;0
27;1;;4;Graduated;1;0
45;19;;2;Undergrad;0;0
49;23;;4;Advanced/Professional;0;0
63;38;;2;Undergrad;0;0
47;22;;1;Undergrad;0;0
64;39;;1;Undergrad;0;0
43;13;;1;Advanced/Professional;0;0
60;36;;4;Undergrad;0;0
40;14;;4;Graduated;0;0
29;3;;4;Undergrad;1;0
41;16;;3;Advanced/Professional;0;0
30;5;;4;Undergrad;1;0
49;24;;4;Advanced/Professional;0;0
30;5;;4;Advanced/Professional;0;0
29;2;;4;Advanced/Professional;0;0
50;26;;4;Undergrad;0;0
39;14;;2;Undergrad;0;0
33;8;;4;Advanced/Professional;0;0
57;31;;4;Advanced/Professional;1;0
34;9;;4;Advanced/Professional;0;0
61;36;;3;Graduated;0;0
44;19;;3;Advanced/Professional;0;0
40;13;;3;Graduated;0;0
51;25;;3;Graduated;0;0
37;12;;3;Graduated;1;0
44;19;;2;Advanced/Professional;0;1
42;15;;3;Graduated;1;0
51;25;;1;Undergrad;0;0
43;16;;3;Graduated;0;0
30;5;;4;Undergrad;1;0
45;19;;4;Advanced/Professional;0;0
35;9;;1;Undergrad;0;0
60;34;;2;Advanced/Professional;1;0
34;9;;1;Undergrad;0;0
55;25;;3;Advanced/Professional;0;0
43;19;;2;Undergrad;0;0
41;15;;1;Advanced/Professional;0;1
34;9;;4;Undergrad;0;0
65;39;;2;Undergrad;0;0
45;21;;2;Undergrad;0;0
49;25;;4;Undergrad;0;1
48;23;;1;Undergrad;0;0
60;35;;1;Undergrad;0;0
55;29;;3;Undergrad;1;0
42;18;;1;Advanced/Professional;0;0
32;8;;2;Undergrad;1;0
62;38;;1;Undergrad;0;0
57;32;;4;Undergrad;1;0
52;26;;1;Undergrad;0;0
36;6;;1;Advanced/Professional;0;0
34;9;;3;Undergrad;1;0
63;37;;2;Advanced/Professional;0;0
24;0;;3;Advanced/Professional;0;0
57;31;;1;Graduated;0;1
40;16;;2;Graduated;0;1
27;2;;4;Advanced/Professional;0;0
65;39;;3;Graduated;1;0
60;34;;1;Graduated;0;0
44;20;;3;Graduated;0;1
63;39;;1;Undergrad;0;1
59;34;;1;Undergrad;0;1
56;30;;4;Undergrad;0;1
54;28;;1;Graduated;1;0
52;27;;1;Advanced/Professional;1;0
58;32;;2;Undergrad;0;0
60;35;;3;Graduated;1;0
28;4;;1;Undergrad;0;0
54;30;;4;Graduated;0;0
32;6;;3;Undergrad;0;0
59;33;;1;Graduated;0;0
63;38;;1;Undergrad;0;0
48;23;;1;Graduated;0;0
56;32;;2;Undergrad;1;0
36;12;;3;Graduated;0;0
57;27;;1;Advanced/Professional;0;0
29;3;;2;Undergrad;0;0
39;13;;4;Graduated;0;0
59;34;;1;Undergrad;1;0
31;6;;4;Graduated;0;0
43;19;;2;Undergrad;1;0
35;5;;1;Advanced/Professional;0;0
54;24;;3;Advanced/Professional;1;0
51;27;;4;Graduated;0;0
44;19;;3;Graduated;0;0
25;0;;2;Advanced/Professional;1;0
40;15;;4;Undergrad;1;1
26;2;;2;Undergrad;0;1
39;14;;1;Advanced/Professional;0;0
28;4;;4;Graduated;0;1
52;28;;4;Graduated;1;0
53;29;;4;Graduated;0;0
44;20;;2;Undergrad;0;0
43;19;;3;Advanced/Professional;1;0
56;30;;2;Advanced/Professional;0;0
38;14;;1;Graduated;0;0
30;6;;2;Undergrad;0;0
32;6;;1;Advanced/Professional;0;0
35;10;;4;Undergrad;0;0
43;19;;2;Undergrad;0;0
58;32;;2;Undergrad;1;0
25;0;;2;Graduated;0;0
54;24;;3;Advanced/Professional;1;0
57;32;;1;Graduated;0;1
50;24;;1;Advanced/Professional;0;0
32;8;;2;Graduated;0;0
63;37;;2;Advanced/Professional;0;0
31;6;;2;Undergrad;1;0
36;12;;4;Undergrad;0;0
58;34;;4;Undergrad;0;0
56;30;;4;Graduated;0;0
49;25;;4;Undergrad;1;0
30;5;;2;Undergrad;0;0
33;7;;3;Undergrad;0;0
45;21;;3;Undergrad;0;0
30;5;;4;Graduated;0;0
47;23;;2;Advanced/Professional;0;0
25;0;;2;Graduated;0;0
63;33;;1;Advanced/Professional;1;0
55;29;;2;Advanced/Professional;1;0
65;41;;4;Undergrad;1;1
44;18;;1;Undergrad;0;0
51;25;;4;Advanced/Professional;1;0
35;9;;3;Undergrad;0;0
30;5;;4;Graduated;0;0
31;5;;4;Graduated;0;0
54;30;;4;Advanced/Professional;0;1
45;20;;1;Undergrad;1;0
45;19;;1;Undergrad;0;0
58;32;;3;Advanced/Professional;1;0
54;29;;4;Advanced/Professional;0;0
53;28;;4;Advanced/Professional;1;0
33;9;;4;Undergrad;1;0
60;35;;2;Undergrad;0;0
50;24;;4;Undergrad;0;0
26;2;;3;Graduated;0;0
54;30;;2;Undergrad;0;0
28;3;;4;Undergrad;1;0
36;10;;3;Undergrad;0;1
29;2;;4;Graduated;1;0
54;28;;1;Undergrad;1;0
55;30;;2;Graduated;0;0
61;36;;3;Graduated;0;0
36;11;;1;Undergrad;1;0
45;19;;1;Undergrad;0;0
64;40;;1;Advanced/Professional;0;0
60;36;;2;Undergrad;0;0
49;22;;1;Graduated;0;0
47;23;;2;Undergrad;1;0
60;36;;4;Advanced/Professional;0;0
45;20;;4;Advanced/Professional;0;0
32;7;;3;Undergrad;0;0
52;28;;3;Graduated;1;0
35;8;;4;Graduated;0;0
40;15;;2;Undergrad;0;0
53;29;;4;Graduated;0;0
27;0;;4;Advanced/Professional;0;0
58;33;;4;Undergrad;1;0
47;22;;4;Advanced/Professional;1;0
28;3;;4;Graduated;0;1
46;20;;2;Undergrad;0;0
43;19;;2;Undergrad;0;0
56;30;;1;Undergrad;0;0
28;3;;4;Undergrad;0;0
42;18;;3;Undergrad;1;0
32;7;;3;Undergrad;1;0
62;38;;2;Undergrad;1;0
37;13;;4;Graduated;0;0
51;26;;1;Advanced/Professional;0;0
39;13;;3;Undergrad;0;0
43;17;;1;Undergrad;0;0
52;28;;4;Undergrad;1;0
30;6;;1;Graduated;0;0
52;26;;3;Undergrad;0;0
61;35;;3;Advanced/Professional;0;0
36;9;;4;Graduated;0;0
58;32;;2;Graduated;1;1
47;23;;4;Undergrad;0;0
64;39;;2;Undergrad;0;0
52;27;;1;Graduated;0;0
58;28;;1;Advanced/Professional;0;1
48;24;;1;Undergrad;0;0
64;40;;2;Advanced/Professional;1;0
58;32;;3;Advanced/Professional;0;0
47;23;;1;Undergrad;1;0
49;23;;1;Advanced/Professional;0;0
31;4;;4;Graduated;1;0
61;37;;3;Advanced/Professional;0;0
51;25;;1;Undergrad;1;0
28;0;;2;Advanced/Professional;0;0
39;13;;3;Graduated;0;0
54;28;;4;Graduated;0;0
50;24;;3;Advanced/Professional;0;0
30;4;;4;Graduated;0;0
64;39;;3;Graduated;0;0
29;3;;3;Advanced/Professional;0;0
48;24;;1;Undergrad;1;0
35;10;;2;Undergrad;0;0
60;36;;2;Undergrad;1;0
55;30;;2;Undergrad;0;0
29;4;;3;Advanced/Professional;0;1
48;22;;2;Graduated;0;1
43;19;;4;Advanced/Professional;1;1
66;42;;1;Graduated;0;0
25;0;;2;Advanced/Professional;0;0
45;20;;1;Undergrad;1;0
34;10;;1;Advanced/Professional;0;0
48;23;;2;Advanced/Professional;1;0
32;6;;4;Graduated;0;0
50;24;;4;Undergrad;1;0
43;19;;4;Undergrad;0;0
64;39;;1;Graduated;0;1
60;34;;2;Undergrad;0;0
43;19;;3;Graduated;0;1
60;34;;1;Graduated;1;0
64;39;;4;Graduated;0;0
44;20;;2;Undergrad;1;0
60;36;;2;Undergrad;1;0
54;29;;3;Advanced/Professional;1;0
33;9;;1;Undergrad;1;0
56;32;;1;Graduated;0;1
29;5;;3;Graduated;0;0
25;1;;2;Undergrad;1;0
60;34;;1;Graduated;0;0
55;30;;2;Undergrad;0;0
39;13;;4;Graduated;1;0
37;13;;3;Undergrad;0;0
53;28;;2;Advanced/Professional;1;0
34;10;;2;Undergrad;0;0
42;18;;4;Undergrad;0;0
60;36;;4;Undergrad;0;0
50;24;;1;Undergrad;1;0
41;17;;2;Undergrad;0;0
25;0;;4;Graduated;1;0
50;24;;2;Advanced/Professional;0;0
48;22;;4;Advanced/Professional;0;0
32;8;;1;Advanced/Professional;1;0
50;25;;3;Graduated;0;0
59;33;;2;Undergrad;0;0
50;26;;3;Graduated;0;0
44;19;;1;Graduated;0;0
31;5;;4;Advanced/Professional;1;0
40;10;;3;Advanced/Professional;0;0
36;12;;3;Graduated;0;1
51;25;;3;Advanced/Professional;0;0
64;40;;3;Advanced/Professional;0;0
47;22;;2;Advanced/Professional;0;0
52;28;;2;Undergrad;0;0
51;26;;1;Graduated;0;0
31;5;;4;Graduated;0;0
39;14;;3;Undergrad;1;0
30;6;;1;Advanced/Professional;0;0
27;1;;3;Advanced/Professional;0;0
41;16;;1;Advanced/Professional;1;0
53;27;;3;Graduated;0;0
54;27;;3;Graduated;0;0
28;4;;1;Graduated;0;0
34;9;;1;Advanced/Professional;0;0
61;37;;4;Graduated;1;0
48;24;;4;Graduated;0;0
36;11;;1;Undergrad;0;0
56;31;;4;Undergrad;0;0
24;0;;4;Undergrad;0;0
64;38;;2;Undergrad;0;0
26;2;;1;Undergrad;1;0
33;8;;2;Undergrad;0;0
64;39;;4;Undergrad;0;1
39;15;;1;Graduated;0;0
54;30;;2;Undergrad;1;0
32;6;;4;Advanced/Professional;1;0
62;37;;2;Undergrad;1;0
27;2;;1;Undergrad;0;0
53;28;;2;Advanced/Professional;0;0
51;25;;1;Undergrad;0;0
25;0;;3;Graduated;0;0
44;20;;1;Advanced/Professional;0;1
31;5;;1;Graduated;1;0
57;32;;1;Advanced/Professional;0;0
25;0;;4;Advanced/Professional;0;0
30;6;;2;Undergrad;0;0
40;14;;3;Undergrad;0;0
63;38;;3;Undergrad;1;0
35;10;;2;Undergrad;0;0
43;19;;4;Undergrad;0;0
27;2;;3;Advanced/Professional;0;0
44;14;;3;Advanced/Professional;1;0
49;23;;1;Advanced/Professional;1;0
61;36;;3;Graduated;1;0
60;34;;3;Graduated;1;0
59;34;;1;Undergrad;1;0
28;3;;4;Undergrad;0;0
52;28;;2;Undergrad;0;0
28;2;;2;Undergrad;0;0
34;8;;4;Undergrad;1;0
60;34;;3;Advanced/Professional;0;0
39;15;;2;Undergrad;1;0
30;5;;4;Graduated;0;0
49;25;;4;Undergrad;0;0
43;18;;1;Advanced/Professional;0;0
63;33;;4;Advanced/Professional;0;0
28;3;;1;Graduated;1;0
51;27;;4;Undergrad;0;0
33;7;;1;Advanced/Professional;0;0
55;29;;3;Undergrad;0;0
53;28;;3;Advanced/Professional;1;1
34;8;;3;Undergrad;0;0
34;9;;2;Undergrad;1;0
40;14;;3;Undergrad;0;0
49;25;;3;Graduated;0;1
35;9;;4;Graduated;0;0
39;15;;1;Undergrad;0;0
55;28;;3;Graduated;1;0
29;5;;2;Graduated;1;0
54;30;;1;Graduated;0;0
25;0;;3;Advanced/Professional;1;0
52;28;;2;Undergrad;0;0
46;19;;3;Graduated;1;0
57;33;;1;Graduated;0;0
52;22;;4;Advanced/Professional;1;0
28;3;;4;Undergrad;1;0
44;18;;1;Advanced/Professional;0;0
24;0;;2;Graduated;0;0
40;16;;1;Undergrad;0;0
34;4;;4;Advanced/Professional;0;0
39;14;;2;Undergrad;1;0
50;24;;1;Undergrad;0;0
41;17;;2;Undergrad;1;0
31;7;;1;Undergrad;0;0
29;3;;4;Advanced/Professional;0;0
30;5;;1;Undergrad;0;0
44;20;79;4;Advanced/Professional;1;0
33;7;48;4;Graduated;0;0
50;26;85;1;Undergrad;0;0
42;18;41;1;Undergrad;0;0
48;22;152;1;Advanced/Professional;0;1
24;0;125;2;Undergrad;1;0
56;31;11;2;Advanced/Professional;0;0
28;4;103;2;Undergrad;1;0
56;30;141;2;Undergrad;0;0
58;32;38;1;Undergrad;1;0
29;5;135;2;Undergrad;0;0
63;38;28;2;Graduated;0;0
28;3;70;4;Undergrad;1;0
57;31;41;1;Undergrad;1;0
34;8;81;3;Graduated;0;0
28;3;170;1;Advanced/Professional;0;1
27;2;55;4;Graduated;0;0
37;11;24;4;Advanced/Professional;0;0
52;28;81;3;Graduated;0;0
49;23;32;4;Undergrad;0;0
65;40;129;1;Undergrad;1;0
60;35;108;1;Undergrad;0;0
37;12;180;1;Undergrad;1;0
63;37;139;2;Undergrad;0;0
40;14;33;2;Advanced/Professional;1;0
46;20;74;4;Advanced/Professional;0;0
63;37;42;2;Advanced/Professional;0;0
57;27;73;1;Advanced/Professional;0;0
33;8;115;4;Graduated;0;1
41;17;114;2;Graduated;0;0
41;17;92;2;Undergrad;0;0
44;19;34;1;Advanced/Professional;0;0
33;6;54;2;Graduated;0;0
52;28;64;2;Advanced/Professional;0;0
30;6;42;1;Advanced/Professional;1;0
45;19;70;3;Undergrad;0;0
49;24;51;1;Graduated;0;0
45;19;71;4;Undergrad;1;0
32;7;35;3;Undergrad;1;0
45;18;40;3;Graduated;0;0
57;32;165;4;Advanced/Professional;0;1
61;31;18;1;Advanced/Professional;1;0
57;31;32;3;Undergrad;1;0
60;35;35;3;Undergrad;0;0
40;16;120;2;Undergrad;0;0
53;28;31;4;Advanced/Professional;0;0
42;16;35;3;Undergrad;0;0
62;36;32;2;Advanced/Professional;1;0
43;18;85;1;Advanced/Professional;0;0
35;10;139;2;Undergrad;0;0
50;24;103;1;Undergrad;0;0
45;21;152;2;Undergrad;0;0
52;27;33;2;Graduated;0;0
35;9;84;4;Graduated;0;0
58;33;61;4;Undergrad;0;0
62;38;64;4;Undergrad;1;0
50;25;34;1;Graduated;0;0
25;0;82;4;Advanced/Professional;0;0
47;22;122;1;Advanced/Professional;0;1
28;4;58;3;Undergrad;0;0
34;9;92;1;Undergrad;0;0
49;23;78;2;Graduated;1;0
54;29;129;4;Advanced/Professional;0;1
50;25;13;2;Advanced/Professional;0;0
37;11;81;1;Advanced/Professional;0;0
38;8;23;1;Advanced/Professional;0;0
52;26;35;3;Advanced/Professional;0;0
63;39;79;4;Graduated;1;0
39;14;165;2;Undergrad;0;0
63;38;52;2;Undergrad;0;0
65;41;185;3;Graduated;0;1
46;20;49;3;Graduated;0;0
54;30;64;1;Advanced/Professional;1;0
54;24;61;4;Advanced/Professional;0;0
52;26;112;1;Undergrad;1;0
63;39;72;3;Advanced/Professional;0;0
66;41;18;3;Undergrad;0;0
56;29;41;4;Graduated;0;0
23;0;61;4;Undergrad;0;0
65;41;105;1;Graduated;0;1
51;27;23;1;Undergrad;0;0
34;10;22;1;Advanced/Professional;0;0
49;23;59;3;Undergrad;0;0
29;2;33;1;Graduated;0;0
47;23;11;1;Advanced/Professional;1;0
46;21;204;2;Undergrad;0;0
52;27;61;4;Advanced/Professional;0;0
55;31;103;3;Graduated;0;0
61;36;51;3;Undergrad;1;0
34;9;164;1;Advanced/Professional;0;1
58;34;12;1;Graduated;1;0
40;16;82;1;Graduated;0;0
43;17;164;1;Undergrad;0;0
35;8;48;2;Graduated;0;0
24;0;38;4;Graduated;0;0
48;22;65;2;Graduated;0;0
44;20;71;4;Undergrad;0;0
54;30;18;1;Undergrad;0;0
59;34;52;2;Advanced/Professional;0;0
45;18;48;3;Graduated;1;0
26;2;30;1;Advanced/Professional;0;0
40;15;40;2;Advanced/Professional;0;0
32;7;112;1;Undergrad;0;0
29;4;115;1;Undergrad;0;0
51;27;63;2;Advanced/Professional;0;0
42;17;85;1;Advanced/Professional;0;0
64;38;59;1;Advanced/Professional;0;0
44;20;68;1;Advanced/Professional;0;0
37;11;84;2;Undergrad;1;0
44;19;62;3;Advanced/Professional;1;0
35;9;109;3;Undergrad;0;1
41;17;141;2;Undergrad;0;0
56;32;129;1;Undergrad;0;0
62;36;30;3;Graduated;0;0
58;34;148;1;Undergrad;0;0
47;20;25;3;Graduated;1;0
35;10;21;3;Undergrad;0;0
29;4;72;4;Undergrad;0;0
43;17;59;3;Advanced/Professional;1;0
62;37;83;3;Graduated;0;0
41;16;10;2;Graduated;0;0
34;9;84;3;Graduated;0;0
50;23;98;3;Graduated;0;0
47;23;32;1;Undergrad;1;0
29;5;31;4;Graduated;1;0
59;34;94;3;Undergrad;1;0
56;31;21;2;Advanced/Professional;1;0
61;35;110;3;Undergrad;0;0
58;32;38;1;Advanced/Professional;0;0
49;24;39;1;Advanced/Professional;0;0
45;21;132;3;Graduated;1;1
50;24;61;4;Undergrad;0;0
64;38;92;1;Undergrad;0;0
39;15;119;2;Undergrad;0;0
58;33;53;4;Undergrad;0;0
62;37;18;3;Graduated;0;0
45;20;114;2;Graduated;0;1
58;28;90;1;Advanced/Professional;1;0
43;18;140;1;Undergrad;0;0
28;3;90;2;Undergrad;1;0
26;1;85;1;Undergrad;0;0
49;24;80;1;Undergrad;0;0
66;42;53;2;Undergrad;1;0
33;7;49;4;Graduated;0;0
61;35;152;3;Advanced/Professional;0;1
64;37;138;2;Graduated;0;1
36;10;80;4;Graduated;0;0
49;23;82;2;Graduated;0;0
52;27;195;1;Undergrad;0;0
61;37;22;1;Advanced/Professional;0;0
32;6;81;1;Undergrad;0;0
61;37;40;4;Undergrad;1;0
45;20;154;2;Undergrad;0;0
30;4;49;3;Graduated;1;0
62;37;85;4;Graduated;0;0
57;32;21;3;Graduated;0;0
