Idade;Anos_experiencia;Renda;Familia;Educacao;Hipoteca;Cartao_credito;Emprestimo_pessoal
;14;60,0;2;Advanced/Professional;0;;0
;29;120,0;4;Graduated;111;;1
;29;99,0;2;Undergrad;264;;0
;1;55,0;3;Advanced/Professional;113;;0
;6;29,0;3;Graduated;117;;0
;28;170,0;2;Graduated;325;;1
;40;53,0;3;Undergrad;0;;0
;21;138,0;1;Undergrad;0;;0
;41;134,0;3;Advanced/Professional;121;;1
;40;42,0;2;Advanced/Professional;138;;0
;0;99,0;4;Advanced/Professional;0;;0
;41;18,0;3;Undergrad;0;;0
;9;24,0;4;Undergrad;0;;0
;30;55,0;1;Undergrad;77;;0
;27;58,0;1;Undergrad;0;;0
;16;111,0;2;Advanced/Professional;251;;1
;23;33,0;1;Advanced/Professional;0;;0
;1;74,0;4;Graduated;112;;0
;19;38,0;2;Undergrad;0;;0
;23;23,0;4;Advanced/Professional;98;;0
;38;61,0;2;Undergrad;0;;0
;22;81,0;1;Undergrad;138;;0
;39;129,0;1;Undergrad;0;;0
;13;33,0;1;Advanced/Professional;0;;0
;36;63,0;4;Undergrad;0;;0
;14;70,0;4;Graduated;0;;0
;3;45,0;4;Undergrad;158;;0
;16;65,0;3;Advanced/Professional;0;;0
;5;74,0;4;Undergrad;0;;0
;24;50,0;4;Advanced/Professional;0;;0
;5;22,0;4;Advanced/Professional;109;;0
;2;30,0;4;Advanced/Professional;0;;0
50;26;21,0;4;Undergrad;0;;0
39;14;155,0;2;Undergrad;0;;0
33;8;64,0;4;Advanced/Professional;164;;0
57;31;65,0;4;Advanced/Professional;0;;0
34;9;71,0;4;Advanced/Professional;0;;0
61;36;40,0;3;Graduated;0;;0
44;19;69,0;3;Advanced/Professional;0;;0
40;13;69,0;3;Graduated;0;;0
51;25;45,0;3;Graduated;131;;0
37;12;62,0;3;Graduated;0;;0
44;19;172,0;2;Advanced/Professional;391;;1
42;15;24,0;3;Graduated;0;;0
51;25;80,0;1;Undergrad;0;;0
43;16;8,0;3;Graduated;88;;0
30;5;38,0;4;Undergrad;129;;0
45;19;93,0;4;Advanced/Professional;0;;0
35;9;55,0;1;Undergrad;0;;0
60;34;64,0;2;Advanced/Professional;0;;0
34;9;122,0;1;Undergrad;0;;0
55;25;70,0;3;Advanced/Professional;0;;0
43;19;81,0;2;Undergrad;0;;0
41;15;159,0;1;Advanced/Professional;0;;1
34;9;70,0;4;Undergrad;0;;0
65;39;150,0;2;Undergrad;196;;0
45;21;152,0;2;Undergrad;0;;0
49;25;195,0;4;Undergrad;617;;1
48;23;22,0;1;Undergrad;0;;0
60;35;22,0;1;Undergrad;123;;0
55;29;79,0;3;Undergrad;0;;0
42;18;33,0;1;Advanced/Professional;0;;0
32;8;128,0;2;Undergrad;0;;0
62;38;91,0;1;Undergrad;0;;0
57;32;39,0;4;Undergrad;0;;0
52;26;121,0;1;Undergrad;167;;0
36;6;21,0;1;Advanced/Professional;0;;0
34;9;41,0;3;Undergrad;0;;0
63;37;45,0;2;Advanced/Professional;0;;0
24;0;51,0;3;Advanced/Professional;0;;0
57;31;165,0;1;Graduated;0;;1
40;16;119,0;2;Graduated;0;;1
27;2;110,0;4;Advanced/Professional;190;;0
65;39;20,0;3;Graduated;0;;0
60;34;64,0;1;Graduated;248;;0
44;20;101,0;3;Graduated;82;;1
63;39;101,0;1;Undergrad;0;;1
59;34;99,0;1;Undergrad;0;;1
56;30;158,0;4;Undergrad;0;;1
54;28;89,0;1;Graduated;0;;0
52;27;80,0;1;Advanced/Professional;0;;0
58;32;114,0;2;Undergrad;402;;0
60;35;49,0;3;Graduated;0;;0
28;4;191,0;1;Undergrad;0;;0
54;30;78,0;4;Graduated;0;;0
32;6;28,0;3;Undergrad;0;;0
59;33;42,0;1;Graduated;0;;0
63;38;140,0;1;Undergrad;0;;0
48;23;45,0;1;Graduated;0;;0
56;32;122,0;2;Undergrad;360;;0
36;12;65,0;3;Graduated;0;0;0
57;27;68,0;1;Advanced/Professional;0;0;0
29;3;153,0;2;Undergrad;392;0;0
39;13;89,0;4;Graduated;0;0;0
59;34;91,0;1;Undergrad;0;1;0
31;6;55,0;4;Graduated;185;0;0
43;19;118,0;2;Undergrad;0;1;0
35;5;22,0;1;Advanced/Professional;103;0;0
54;24;63,0;3;Advanced/Professional;138;1;0
51;27;12,0;4;Graduated;78;0;0
44;19;50,0;3;Graduated;0;0;0
25;0;43,0;2;Advanced/Professional;0;1;0
40;15;173,0;4;Undergrad;0;1;1
26;2;60,0;2;Undergrad;132;0;1
39;14;113,0;1;Advanced/Professional;0;0;0
28;4;155,0;4;Graduated;0;0;1
52;28;91,0;4;Graduated;0;1;0
53;29;55,0;4;Graduated;0;0;0
44;20;173,0;2;Undergrad;419;0;0
43;19;71,0;3;Advanced/Professional;0;1;0
56;30;24,0;2;Advanced/Professional;88;0;0
38;14;42,0;1;Graduated;81;0;0
30;6;141,0;2;Undergrad;0;0;0
32;6;32,0;1;Advanced/Professional;0;0;0
35;10;55,0;4;Undergrad;0;0;0
43;19;153,0;2;Undergrad;0;0;0
58;32;113,0;2;Undergrad;270;1;0
25;0;30,0;2;Graduated;0;0;0
54;24;29,0;3;Advanced/Professional;148;1;0
57;32;174,0;1;Graduated;466;0;1
50;24;35,0;1;Advanced/Professional;0;0;0
32;8;98,0;2;Graduated;175;0;0
63;37;30,0;2;Advanced/Professional;159;0;0
31;6;58,0;2;Undergrad;0;1;0
36;12;25,0;4;Undergrad;147;0;0
58;34;19,0;4;Undergrad;0;0;0
56;30;44,0;4;Graduated;174;0;0
49;25;20,0;4;Undergrad;111;1;0
30;5;98,0;2;Undergrad;220;0;0
33;7;90,0;3;Undergrad;0;0;0
45;21;61,0;3;Undergrad;0;0;0
30;5;40,0;4;Graduated;0;0;0
47;23;38,0;2;Advanced/Professional;0;0;0
25;0;28,0;2;Graduated;0;0;0
63;33;34,0;1;Advanced/Professional;0;1;0
55;29;73,0;2;Advanced/Professional;0;1;0
65;41;133,0;4;Undergrad;0;1;1
44;18;53,0;1;Undergrad;0;0;0
51;25;21,0;4;Advanced/Professional;0;1;0
35;9;40,0;3;Undergrad;0;0;0
30;5;41,0;4;Graduated;0;0;0
31;5;82,0;4;Graduated;0;0;0
54;30;100,0;4;Advanced/Professional;0;0;1
45;20;155,0;1;Undergrad;0;1;0
45;19;45,0;1;Undergrad;0;0;0
58;32;9,0;3;Advanced/Professional;0;1;0
54;29;48,0;4;Advanced/Professional;0;0;0
53;28;18,0;4;Advanced/Professional;109;1;0
33;9;80,0;4;Undergrad;0;1;0
60;35;64,0;2;Undergrad;0;0;0
50;24;29,0;4;Undergrad;0;0;0
26;2;48,0;3;Graduated;0;0;0
54;30;23,0;2;Undergrad;0;0;0
28;3;84,0;4;Undergrad;0;1;0
36;10;179,0;3;Undergrad;0;0;1
29;2;30,0;4;Graduated;112;1;0
54;28;93,0;1;Undergrad;133;1;0
55;30;39,0;2;Graduated;0;0;0
61;36;60,0;3;Graduated;182;0;0
36;11;133,0;1;Undergrad;290;1;0
45;19;125,0;1;Undergrad;0;0;0
64;40;58,0;1;Advanced/Professional;0;0;0
60;36;89,0;2;Undergrad;0;0;0
49;22;82,0;1;Graduated;125;0;0
47;23;110,0;2;Undergrad;0;1;0
60;36;54,0;4;Advanced/Professional;0;0;0
45;20;89,0;4;Advanced/Professional;0;0;0
32;7;42,0;3;Undergrad;0;0;0
52;28;41,0;3;Graduated;0;1;0
35;8;38,0;4;Graduated;124;0;0
40;15;85,0;2;Undergrad;0;0;0
53;29;83,0;4;Graduated;0;0;0
27;0;33,0;4;Advanced/Professional;0;0;0
58;33;50,0;4;Undergrad;0;1;0
47;22;58,0;4;Advanced/Professional;0;1;0
28;3;115,0;4;Graduated;0;0;1
46;20;145,0;2;Undergrad;0;0;0
43;19;161,0;2;Undergrad;0;0;0
56;30;38,0;1;Undergrad;0;0;0
28;3;28,0;4;Undergrad;0;0;0
42;18;75,0;3;Undergrad;0;1;0
32;7;35,0;3;Undergrad;116;1;0
62;38;24,0;2;Undergrad;116;1;0
37;13;78,0;4;Graduated;0;0;0
51;26;113,0;1;Advanced/Professional;161;0;0
39;13;75,0;3;Undergrad;224;0;0
43;17;91,0;1;Undergrad;0;0;0
52;28;31,0;4;Undergrad;141;1;0
30;6;45,0;1;Graduated;0;0;0
52;26;80,0;3;Undergrad;0;0;0
61;35;50,0;3;Advanced/Professional;112;0;0
36;9;31,0;4;Graduated;0;0;0
58;32;113,0;2;Graduated;119;1;1
47;23;29,0;4;Undergrad;0;0;0
64;39;59,0;2;Undergrad;139;0;0
52;27;43,0;1;Graduated;0;0;0
58;28;122,0;1;Advanced/Professional;115;0;1
48;24;29,0;1;Undergrad;0;0;0
64;40;91,0;2;Advanced/Professional;0;1;0
58;32;65,0;3;Advanced/Professional;0;0;0
47;23;22,0;1;Undergrad;0;1;0
49;23;71,0;1;Advanced/Professional;0;0;0
31;4;60,0;4;Graduated;0;1;0
61;37;60,0;3;Advanced/Professional;0;0;0
51;25;69,0;1;Undergrad;0;1;0
28;0;48,0;2;Advanced/Professional;89;0;0
39;13;21,0;3;Graduated;0;0;0
54;28;53,0;4;Graduated;0;0;0
50;24;29,0;3;Advanced/Professional;0;0;0
30;4;60,0;4;Graduated;0;0;0
64;39;42,0;3;Graduated;116;0;0
29;3;69,0;3;Advanced/Professional;0;0;0
48;24;20,0;1;Undergrad;0;1;0
35;10;200,0;2;Undergrad;458;0;0
60;36;141,0;2;Undergrad;0;1;0
55;30;81,0;2;Undergrad;0;0;0
29;4;183,0;3;Advanced/Professional;0;0;1
48;22;149,0;2;Graduated;0;0;1
43;19;83,0;4;Advanced/Professional;0;1;1
66;42;35,0;1;Graduated;172;0;0
25;0;13,0;2;Advanced/Professional;0;0;0
45;20;39,0;1;Undergrad;0;1;0
34;10;21,0;1;Advanced/Professional;0;0;0
48;23;10,0;2;Advanced/Professional;0;1;0
32;6;84,0;4;Graduated;0;0;0
50;24;30,0;4;Undergrad;161;1;0
43;19;31,0;4;Undergrad;156;0;0
64;39;182,0;1;Graduated;547;0;1
60;34;114,0;2;Undergrad;0;0;0
43;19;152,0;3;Graduated;0;0;1
60;34;53,0;1;Graduated;0;1;0
64;39;24,0;4;Graduated;78;0;0
44;20;150,0;2;Undergrad;0;1;0
60;36;132,0;2;Undergrad;470;1;0
54;29;68,0;3;Advanced/Professional;0;1;0
33;9;53,0;1;Undergrad;0;1;0
56;32;173,0;1;Graduated;88;0;1
29;5;30,0;3;Graduated;0;0;0
25;1;113,0;2;Undergrad;0;1;0
60;34;15,0;1;Graduated;0;0;0
55;30;84,0;2;Undergrad;304;0;0
39;13;88,0;4;Graduated;0;1;0
37;13;43,0;3;Undergrad;0;0;0
53;28;43,0;2;Advanced/Professional;0;1;0
34;10;90,0;2;Undergrad;0;0;0
42;18;34,0;4;Undergrad;104;0;0
60;36;38,0;4;Undergrad;0;0;0
50;24;173,0;1;Undergrad;0;1;0
41;17;160,0;2;Undergrad;0;0;0
25;0;44,0;4;Graduated;0;1;0
50;24;83,0;2;Advanced/Professional;0;0;0
48;22;94,0;4;Advanced/Professional;0;0;0
32;8;43,0;1;Advanced/Professional;0;1;0
50;25;42,0;3;Graduated;0;0;0
59;33;34,0;2;Undergrad;0;0;0
50;26;39,0;3;Graduated;0;0;0
44;19;70,0;1;Graduated;0;0;0
31;5;39,0;4;Advanced/Professional;185;1;0
40;10;44,0;3;Advanced/Professional;0;0;0
36;12;69,0;3;Graduated;0;0;1
51;25;44,0;3;Advanced/Professional;0;0;0
64;40;32,0;3;Advanced/Professional;0;0;0
47;22;15,0;2;Advanced/Professional;0;0;0
52;28;118,0;2;Undergrad;112;0;0
51;26;62,0;1;Graduated;221;0;0
31;5;82,0;4;Graduated;0;0;0
39;14;54,0;3;Undergrad;108;1;0
30;6;48,0;1;Advanced/Professional;0;0;0
27;1;74,0;3;Advanced/Professional;0;0;0
41;16;113,0;1;Advanced/Professional;211;1;0
53;27;81,0;3;Graduated;0;0;0
54;27;43,0;3;Graduated;169;0;0
28;4;34,0;1;Graduated;0;0;0
34;9;48,0;1;Advanced/Professional;105;0;0
61;37;54,0;4;Graduated;129;1;0
48;24;75,0;4;Graduated;0;0;0
36;11;72,0;1;Undergrad;224;0;0
56;31;39,0;4;Undergrad;0;0;0
24;0;75,0;4;Undergrad;0;0;0
64;38;79,0;2;Undergrad;179;0;0
26;2;205,0;1;Undergrad;271;1;0
33;8;65,0;2;Undergrad;89;0;0
64;39;122,0;4;Undergrad;378;0;1
39;15;82,0;1;Graduated;0;0;0
54;30;21,0;2;Undergrad;0;1;0
32;6;50,0;4;Advanced/Professional;0;1;0
62;37;39,0;2;Undergrad;113;1;0
27;2;101,0;1;Undergrad;0;0;0
53;28;41,0;2;Advanced/Professional;0;0;0
51;25;132,0;1;Undergrad;0;0;0
25;0;43,0;3;Graduated;176;0;0
44;20;131,0;1;Advanced/Professional;0;0;1
31;5;11,0;1;Graduated;76;1;0
57;32;21,0;1;Advanced/Professional;117;0;0
25;0;109,0;4;Advanced/Professional;314;0;0
30;6;141,0;2;Undergrad;0;0;0
40;14;81,0;3;Undergrad;0;0;0
63;38;54,0;3;Undergrad;90;1;0
35;10;164,0;2;Undergrad;0;0;0
43;19;28,0;4;Undergrad;87;0;0
27;2;68,0;3;Advanced/Professional;203;0;0
44;14;44,0;3;Advanced/Professional;180;1;0
49;23;61,0;1;Advanced/Professional;0;1;0
61;36;35,0;3;Graduated;0;1;0
60;34;54,0;3;Graduated;0;1;0
59;34;14,0;1;Undergrad;0;1;0
28;3;52,0;4;Undergrad;230;0;0
52;28;101,0;2;Undergrad;0;0;0
28;2;149,0;2;Undergrad;0;0;0
34;8;35,0;4;Undergrad;137;1;0
60;34;21,0;3;Advanced/Professional;129;0;0
39;15;118,0;2;Undergrad;0;1;0
30;5;38,0;4;Graduated;0;0;0
49;25;24,0;4;Undergrad;138;0;0
43;18;59,0;1;Advanced/Professional;0;0;0
63;33;41,0;4;Advanced/Professional;0;0;0
28;3;85,0;1;Graduated;0;1;0
51;27;12,0;4;Undergrad;0;0;0
33;7;32,0;1;Advanced/Professional;152;0;0
55;29;79,0;3;Undergrad;0;0;0
53;28;175,0;3;Advanced/Professional;0;1;1
34;8;28,0;3;Undergrad;0;0;0
34;9;41,0;2;Undergrad;161;1;0
40;14;70,0;3;Undergrad;185;0;0
49;25;161,0;3;Graduated;485;0;1
35;9;53,0;4;Graduated;0;0;0
39;15;128,0;1;Undergrad;0;0;0
55;28;50,0;3;Graduated;0;1;0
29;5;80,0;2;Graduated;0;1;0
54;30;93,0;1;Graduated;0;0;0
25;0;48,0;3;Advanced/Professional;0;1;0
52;28;149,0;2;Undergrad;0;0;0
46;19;49,0;3;Graduated;0;1;0
57;33;88,0;1;Graduated;0;0;0
52;22;22,0;4;Advanced/Professional;0;1;0
28;3;55,0;4;Undergrad;0;1;0
44;18;72,0;1;Advanced/Professional;155;0;0
24;0;38,0;2;Graduated;0;0;0
40;16;114,0;1;Undergrad;300;0;0
34;4;83,0;4;Advanced/Professional;0;0;0
39;14;101,0;2;Undergrad;0;1;0
50;24;94,0;1;Undergrad;272;0;0
41;17;40,0;2;Undergrad;0;1;0
31;7;128,0;1;Undergrad;0;0;0
29;3;39,0;4;Advanced/Professional;0;0;0
30;5;51,0;1;Undergrad;0;0;0
44;20;79,0;4;Advanced/Professional;0;1;0
33;7;48,0;4;Graduated;0;0;0
50;26;85,0;1;Undergrad;144;0;0
42;18;41,0;1;Undergrad;94;0;0
48;22;152,0;1;Advanced/Professional;0;0;1
24;0;125,0;2;Undergrad;0;1;0
56;31;11,0;2;Advanced/Professional;90;0;0
28;4;103,0;2;Undergrad;0;1;0
56;30;141,0;2;Undergrad;0;0;0
58;32;38,0;1;Undergrad;0;1;0
29;5;135,0;2;Undergrad;0;0;0
63;38;28,0;2;Graduated;89;0;0
28;3;70,0;4;Undergrad;240;1;0
57;31;41,0;1;Undergrad;0;1;0
34;8;81,0;3;Graduated;208;0;0
28;3;170,0;1;Advanced/Professional;0;0;1
27;2;55,0;4;Graduated;0;0;0
37;11;24,0;4;Advanced/Professional;0;0;0
52;28;81,0;3;Graduated;275;0;0
49;23;32,0;4;Undergrad;83;0;0
65;40;129,0;1;Undergrad;0;1;0
60;35;108,0;1;Undergrad;0;0;0
37;12;180,0;1;Undergrad;0;1;0
63;37;139,0;2;Undergrad;0;0;0
40;14;33,0;2;Advanced/Professional;0;1;0
46;20;74,0;4;Advanced/Professional;0;0;0
63;37;42,0;2;Advanced/Professional;115;0;0
57;27;73,0;1;Advanced/Professional;0;0;0
33;8;115,0;4;Graduated;0;0;1
41;17;114,0;2;Graduated;0;0;0
41;17;92,0;2;Undergrad;131;0;0
44;19;34,0;1;Advanced/Professional;78;0;0
33;6;54,0;2;Graduated;122;0;0
52;28;64,0;2;Advanced/Professional;211;0;0
30;6;42,0;1;Advanced/Professional;100;1;0
45;19;70,0;3;Undergrad;0;0;0
49;24;51,0;1;Graduated;0;0;0
45;19;71,0;4;Undergrad;218;1;0
32;7;35,0;3;Undergrad;108;1;0
45;18;40,0;3;Graduated;0;0;0
57;32;165,0;4;Advanced/Professional;0;0;1
61;31;18,0;1;Advanced/Professional;0;1;0
57;31;32,0;3;Undergrad;0;1;0
60;35;35,0;3;Undergrad;169;0;0
40;16;120,0;2;Undergrad;196;0;0
53;28;31,0;4;Advanced/Professional;0;0;0
42;16;35,0;3;Undergrad;0;0;0
62;36;32,0;2;Advanced/Professional;0;1;0
